symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,1,2025-11-19,539.00,539.00,520.00,528.90,-0.40,"25,989.00","13,633,774.90"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,2,2025-11-18,535.00,545.00,528.00,531.00,-0.75,"58,668.00","31,535,394.70"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,3,2025-11-17,522.00,535.00,522.00,535.00,2.69,"62,923.00","33,243,717.60"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,4,2025-11-16,523.70,528.00,516.00,521.00,-0.52,"70,844.00","37,040,852.30"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,5,2025-11-13,502.20,526.00,502.20,523.70,2.21,"92,258.00","47,973,022.60"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,6,2025-11-12,501.00,520.00,501.00,512.40,0.39,"51,514.00","26,354,985.90"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,7,2025-11-11,510.00,519.00,508.00,510.40,0.16,"81,119.00","41,552,339.20"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,8,2025-11-10,507.00,516.90,507.00,509.60,-1.05,"62,480.00","31,894,210.40"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,9,2025-11-09,513.00,517.00,507.50,515.00,-0.54,"27,024.00","13,796,000.10"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,10,2025-11-06,510.00,524.40,508.10,517.80,-0.04,"27,714.00","14,291,203.30"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,11,2025-11-05,510.00,520.00,510.00,518.00,1.57,"44,210.00","22,884,031.20"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,12,2025-11-04,517.00,522.50,507.00,510.00,-1.35,"70,239.00","36,176,253.00"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,13,2025-11-03,534.00,534.00,511.10,517.00,-1.62,"53,319.00","27,678,681.00"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,14,2025-11-02,534.00,540.00,525.00,525.50,-1.78,"69,334.00","36,810,598.70"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,15,2025-10-30,520.10,538.00,520.10,535.00,2.69,"87,461.00","46,603,394.40"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,16,2025-10-29,514.90,533.00,505.10,521.00,2.96,"122,048.00","63,795,808.40"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,17,2025-10-28,478.00,515.00,478.00,506.00,5.86,"66,961.00","33,728,626.30"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,18,2025-10-26,469.00,482.90,469.00,478.00,0.02,"11,559.00","5,543,578.40"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,19,2025-10-19,472.50,479.90,466.00,477.90,1.23,"11,746.00","5,553,885.40"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,20,2025-10-16,476.00,488.40,472.10,472.10,-1.65,"18,776.00","8,998,356.80"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,21,2025-10-15,479.10,495.00,476.00,480.00,-1.64,"23,512.00","11,338,941.00"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,22,2025-10-14,488.30,498.00,481.00,488.00,-2.01,"23,790.00","11,546,685.20"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,23,2025-10-13,478.00,504.00,470.00,498.00,2.79,"23,832.00","11,534,097.20"
gvl,Green Ventures Limited,Hydropower,https://www.sharesansar.com/company/gvl,24,2025-10-12,490.10,500.00,475.10,484.50,-2.91,"53,750.00","25,937,229.90"
