symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,1,2025-11-19,920.00,920.00,905.00,909.00,-1.20,"3,702.00","3,365,962.70"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,2,2025-11-18,901.20,925.00,901.10,920.00,1.13,"8,547.00","7,819,995.30"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,3,2025-11-17,910.00,915.00,901.00,909.70,-0.03,"8,967.00","8,141,640.90"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,4,2025-11-16,919.00,919.00,908.00,910.00,-0.98,"4,851.00","4,413,771.60"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,5,2025-11-13,920.00,923.00,910.00,919.00,-0.10,"4,865.00","4,454,795.10"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,6,2025-11-12,926.00,927.00,906.50,919.90,-0.55,"8,593.00","7,857,459.90"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,7,2025-11-11,928.00,928.00,912.00,925.00,-0.32,"2,463.00","2,255,787.60"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,8,2025-11-10,915.20,939.50,915.00,928.00,-0.55,"7,116.00","6,560,716.30"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,9,2025-11-09,932.00,936.00,930.00,933.10,-1.26,"5,044.00","4,703,411.90"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,10,2025-11-06,954.90,959.90,941.30,945.00,-1.04,"6,847.00","6,496,349.10"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,11,2025-11-05,945.00,954.90,940.00,954.90,0.06,"5,615.00","5,306,909.40"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,12,2025-11-04,975.00,975.00,941.00,954.30,-0.90,"10,098.00","9,581,160.10"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,13,2025-11-03,965.00,982.90,960.00,963.00,-1.13,"9,990.00","9,661,682.20"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,14,2025-11-02,960.00,974.00,946.00,974.00,2.42,"8,049.00","7,758,463.30"
hathy,Hathway Investment Nepal Limited,Investment,https://www.sharesansar.com/company/hathy,15,2025-10-30,912.00,960.00,912.00,951.00,2.26,"7,518.00","7,017,096.50"
