symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,1,2025-11-19,190.90,190.90,185.90,186.60,-0.32,"53,277.00","9,984,265.80"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,2,2025-11-18,185.00,189.50,185.00,187.20,0.16,"42,111.00","7,902,597.70"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,3,2025-11-17,187.00,190.00,184.30,186.90,-0.48,"44,806.00","8,384,877.90"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,4,2025-11-16,186.00,188.00,186.00,187.80,-0.63,"45,026.00","8,412,889.40"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,5,2025-11-13,189.80,191.00,186.30,189.00,-0.68,"103,061.00","19,370,192.90"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,6,2025-11-12,191.00,192.00,189.80,190.30,-1.60,"95,427.00","18,169,322.90"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,7,2025-11-11,190.10,193.40,190.10,193.40,0.21,"36,302.00","6,953,014.00"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,8,2025-11-10,193.00,195.00,190.60,193.00,-0.26,"150,598.00","29,139,893.90"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,9,2025-11-09,204.00,204.00,192.80,193.50,-3.25,"69,290.00","13,467,991.50"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,10,2025-11-06,195.10,202.70,195.10,200.00,0.50,"84,074.00","16,776,752.60"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,11,2025-11-05,196.50,200.00,196.30,199.00,0.00,"50,104.00","9,885,308.60"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,12,2025-11-04,197.00,199.00,197.00,199.00,0.00,"67,980.00","13,438,005.50"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,13,2025-11-03,198.00,202.00,197.00,199.00,-0.50,"49,743.00","9,898,040.70"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,14,2025-11-02,199.00,202.40,198.00,200.00,0.25,"72,555.00","14,549,372.50"
hbl,Himalayan Bank Limited,Commercial Bank,https://www.sharesansar.com/company/hbl,15,2025-10-30,199.00,200.70,197.20,199.50,0.30,"43,901.00","8,746,832.70"
