symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,1,2025-11-19,"1,078.00","1,080.00","1,078.00","1,080.00",-1.82,45.00,"48,530.00"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,2,2025-11-16,"1,100.00","1,100.00","1,100.00","1,100.00",0.00,25.00,"27,500.00"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,3,2025-11-13,"1,100.00","1,100.00","1,100.00","1,100.00",-0.13,25.00,"27,500.00"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,4,2025-08-18,"1,095.00","1,111.00","1,095.00","1,101.40",0.49,75.00,"82,605.00"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,5,2025-08-12,"1,088.00","1,096.00","1,088.00","1,096.00",0.05,565.00,"618,591.50"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,6,2025-07-29,"1,095.50","1,095.50","1,095.50","1,095.50",1.14,10.00,"10,955.00"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,7,2025-07-06,"1,083.20","1,083.20","1,083.20","1,083.20",0.00,55.00,"59,576.00"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,8,2025-06-25,"1,083.20","1,083.20","1,083.20","1,083.20",2.00,50.00,"54,160.00"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,9,2025-06-18,"1,062.00","1,062.00","1,062.00","1,062.00",0.16,25.00,"26,550.00"
hbld83,10% Himalayan Bank Ltd. Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/hbld83,10,2025-06-16,"1,060.30","1,060.30","1,060.30","1,060.30",0.22,30.00,"31,809.00"
