symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,1,2025-11-12,131.00,131.00,131.00,131.00,0.00,"4,000.00","460,000.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,2,2025-11-09,131.00,131.00,131.00,131.00,0.00,"81,248.00","9,343,520.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,3,2025-11-02,131.00,131.00,131.00,131.00,0.00,"14,006,217.00","1,665,059,077.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,4,2025-10-30,131.00,131.00,131.00,131.00,0.00,"14,006,230.00","1,665,060,622.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,5,2025-08-18,131.00,131.00,131.00,131.00,-1.50,"31,237.00","4,092,047.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,6,2025-07-02,133.00,133.00,133.00,133.00,0.00,407.00,"46,805.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,7,2025-07-01,133.00,133.00,133.00,133.00,0.00,"366,316.00","43,072,002.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,8,2025-04-22,133.00,133.00,133.00,133.00,0.00,"117,250.00","15,594,250.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,9,2025-03-11,133.00,133.00,133.00,133.00,1.53,"50,000.00","6,650,000.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,10,2025-01-02,131.00,131.00,131.00,131.00,4.80,"19,978.00","2,617,118.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,11,2024-08-12,135.00,135.00,125.00,125.00,-7.41,"866,813.00","116,851,625.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,12,2024-08-11,135.00,135.00,135.00,135.00,8.00,"601,184.00","81,159,840.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,13,2024-08-06,125.00,125.00,125.00,125.00,0.00,"31,615.00","3,951,875.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,14,2024-07-10,125.00,125.00,125.00,125.00,0.00,"171,120.00","21,390,000.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,15,2024-06-27,125.00,125.00,125.00,125.00,0.00,"105,804.00","13,225,500.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,16,2024-06-23,125.00,125.00,125.00,125.00,0.00,"59,259.00","7,407,375.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,17,2024-06-13,125.00,125.00,125.00,125.00,1.46,"750,394.00","93,799,250.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,18,2024-05-16,150.00,150.00,150.00,150.00,0.00,"5,291.00","793,650.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,19,2024-02-05,120.80,120.80,120.80,120.80,-1.95,"35,980.00","4,346,384.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,20,2024-01-14,132.30,132.30,123.20,123.20,-8.67,"192,626.00","24,801,054.80"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,21,2024-01-11,146.10,150.00,134.90,150.00,0.67,"1,590,050.00","238,507,022.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,22,2024-01-10,161.40,161.40,149.00,149.00,-9.48,50.00,"7,757.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,23,2024-01-09,178.20,178.20,164.60,164.60,-9.46,50.00,"8,567.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,24,2024-01-08,196.90,196.90,181.80,181.80,-9.51,50.00,"9,464.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,25,2024-01-07,217.50,217.50,200.90,200.90,-9.46,50.00,"10,455.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,26,2024-01-04,240.50,240.50,221.90,221.90,-9.58,50.00,"11,555.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,27,2024-01-03,266.00,266.00,245.40,245.40,-9.58,50.00,"12,780.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,28,2024-01-02,294.00,294.00,271.40,271.40,-9.53,50.00,"14,130.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,29,2024-01-01,300.00,300.00,300.00,300.00,0.00,"1,000.00","300,000.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,30,2023-12-27,300.00,300.00,300.00,300.00,0.00,"25,000.00","7,500,000.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,31,2023-11-08,124.50,124.50,124.50,124.50,5.51,"420,304.00","52,327,848.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,32,2023-11-07,125.00,125.00,118.00,118.00,-5.60,"745,460.00","91,644,228.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,33,2023-11-06,125.00,125.00,125.00,125.00,0.00,"286,790.00","35,848,750.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,34,2020-10-19,300.00,300.00,300.00,300.00,0.00,"112,686.00","33,805,800.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,35,2020-10-18,300.00,300.00,300.00,300.00,3.45,"815,172.00","244,551,600.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,36,2020-01-21,290.00,290.00,290.00,290.00,-31.76,"843,507.00","244,617,024.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,37,2015-06-25,245.00,425.00,425.00,425.00,0.00,"6,652.00","2,827,100.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,38,2014-10-30,241.00,245.00,245.00,245.00,0.00,"100,145.00","24,535,524.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,39,2013-10-01,267.00,262.00,241.00,241.00,0.00,"635,713.00","153,207,392.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,40,2013-09-30,296.00,291.00,267.00,267.00,0.00,60.00,"16,720.00"
hblpo,Himalayan Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/hblpo,41,2013-09-29,296.00,328.00,296.00,296.00,0.00,70.00,"21,740.00"
