symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,1,2025-11-19,175.00,175.00,172.00,172.00,-1.09,"24,900.00","4,312,247.70"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,2,2025-11-18,175.00,176.00,173.10,173.90,0.40,"38,553.00","6,742,090.70"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,3,2025-11-17,170.00,176.00,170.00,173.20,2.18,"41,871.00","7,255,482.00"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,4,2025-11-16,173.00,174.00,169.00,169.50,-1.45,"43,589.00","7,440,931.10"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,5,2025-11-13,172.00,175.00,171.00,172.00,-0.58,"75,817.00","13,057,491.80"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,6,2025-11-12,174.80,174.90,173.00,173.00,-1.03,"15,565.00","2,700,291.30"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,7,2025-11-11,173.00,175.00,172.40,174.80,0.46,"22,409.00","3,889,799.40"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,8,2025-11-10,176.90,177.50,173.10,174.00,-0.57,"26,000.00","4,539,953.90"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,9,2025-11-09,175.00,179.00,173.00,175.00,-1.13,"41,795.00","7,313,418.40"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,10,2025-11-06,177.50,180.00,176.90,177.00,-0.56,"36,548.00","6,514,627.80"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,11,2025-11-05,176.90,178.00,175.00,178.00,0.62,"26,155.00","4,615,866.40"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,12,2025-11-04,183.00,183.00,176.40,176.90,-2.27,"26,805.00","4,782,550.80"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,13,2025-11-03,183.00,185.40,180.10,181.00,-0.82,"77,014.00","14,040,666.60"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,14,2025-11-02,179.90,183.30,177.00,182.50,2.53,"106,136.00","19,253,071.30"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,15,2025-10-30,178.00,180.50,174.00,178.00,0.74,"49,299.00","8,742,955.70"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,16,2025-10-29,177.50,180.90,175.00,176.70,-0.39,"74,040.00","13,164,275.20"
hdhpc,Himal Dolakha Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/hdhpc,17,2025-10-28,170.00,178.00,170.00,177.40,4.35,"47,611.00","8,393,849.90"
