symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,1,2025-11-20,483.00,483.00,475.20,476.00,-1.24,"7,783.00","3,710,611.90"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,2,2025-11-19,482.00,485.00,477.30,482.00,-0.15,"3,357.00","1,605,524.80"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,3,2025-11-18,494.00,494.00,476.00,482.70,-0.37,"7,255.00","3,476,243.20"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,4,2025-11-17,485.00,485.00,476.20,484.50,0.06,"5,067.00","2,427,896.60"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,5,2025-11-16,471.00,488.00,471.00,484.20,1.09,"9,580.00","4,616,301.90"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,6,2025-11-13,480.00,485.00,476.50,479.00,-1.44,"5,202.00","2,485,793.00"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,7,2025-11-12,493.40,493.40,482.10,486.00,-1.18,"4,708.00","2,295,347.30"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,8,2025-11-11,484.00,491.80,480.50,491.80,1.61,"6,673.00","3,244,621.80"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,9,2025-11-10,483.10,484.00,479.00,484.00,-0.76,"8,502.00","4,085,011.20"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,10,2025-11-09,482.00,489.00,481.00,487.70,-0.43,"5,195.00","2,512,157.50"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,11,2025-11-06,498.60,504.00,486.00,489.80,0.16,"4,285.00","2,107,094.50"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,12,2025-11-05,480.00,490.00,480.00,489.00,0.82,"6,006.00","2,909,826.30"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,13,2025-11-04,506.90,508.80,481.00,485.00,-3.00,"13,946.00","6,869,084.10"
hei,Himalayan Everest Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/hei,14,2025-11-03,497.00,512.90,490.00,500.00,-0.99,"13,932.00","6,930,766.80"
