symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,1,2025-11-20,322.00,322.00,315.60,315.60,-1.07,"1,010.00","318,820.00"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,2,2025-11-19,319.00,319.00,319.00,319.00,1.27,300.00,"95,700.00"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,3,2025-11-17,315.00,315.10,315.00,315.00,-0.06,"6,522.00","2,054,888.00"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,4,2025-11-16,312.30,315.20,312.20,315.20,-1.04,"5,123.00","1,599,779.60"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,5,2025-11-13,325.00,325.00,318.50,318.50,-2.00,845.00,"270,505.00"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,6,2025-11-12,314.80,325.00,314.00,325.00,5.28,"2,850.00","903,860.00"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,7,2025-11-11,312.00,312.00,308.70,308.70,-2.00,"5,000.00","1,546,154.10"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,8,2025-11-10,312.10,315.00,312.10,315.00,-0.63,"5,611.00","1,766,372.20"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,9,2025-11-09,328.00,328.00,317.00,317.00,-2.76,"5,010.00","1,616,970.00"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,10,2025-11-06,324.10,337.40,324.10,326.00,2.48,"2,555.00","829,032.50"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,11,2025-11-05,318.20,318.20,318.10,318.10,-1.61,129.00,"41,038.90"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,12,2025-11-04,332.00,332.00,323.30,323.30,-2.65,"3,655.00","1,196,165.50"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,13,2025-11-03,332.10,332.10,332.10,332.10,-1.72,604.00,"200,588.40"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,14,2025-10-30,338.00,338.00,331.20,337.90,-0.06,70.00,"23,507.60"
heip,Himalayan Everest Insurance Limited Promoter,Promoter Share,https://www.sharesansar.com/company/heip,15,2025-10-29,344.90,344.90,338.10,338.10,-1.94,100.00,"34,150.00"
