symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,1,2025-11-20,179.90,185.40,179.90,182.60,-0.49,"68,893.00","12,617,865.20"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,2,2025-11-19,180.70,187.70,180.70,183.50,-0.43,"105,129.00","19,462,550.50"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,3,2025-11-18,184.50,190.20,183.40,184.30,0.71,"233,594.00","43,650,374.60"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,4,2025-11-17,182.50,184.50,179.20,183.00,1.10,"115,250.00","21,021,945.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,5,2025-11-16,180.20,181.90,179.00,181.00,0.11,"57,568.00","10,360,560.90"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,6,2025-11-13,180.90,182.90,179.00,180.80,-0.06,"209,704.00","37,807,997.70"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,7,2025-11-12,185.10,185.10,179.60,180.90,-1.68,"213,240.00","38,732,440.40"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,8,2025-11-11,183.00,185.00,182.80,184.00,0.38,"69,781.00","12,828,885.40"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,9,2025-11-10,181.30,186.20,180.20,183.30,0.38,"117,969.00","21,585,805.60"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,10,2025-11-09,185.00,187.60,182.10,182.60,-1.83,"79,384.00","14,586,959.30"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,11,2025-11-06,187.40,188.40,185.00,186.00,0.00,"83,674.00","15,650,235.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,12,2025-11-05,184.90,187.70,184.20,186.00,0.38,"138,841.00","25,788,371.10"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,13,2025-11-04,191.70,191.70,185.00,185.30,-1.44,"186,913.00","34,957,390.50"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,14,2025-11-03,190.00,193.00,187.40,188.00,-1.05,"273,495.00","51,793,889.20"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,15,2025-11-02,190.00,193.00,188.00,190.00,1.06,"265,804.00","50,707,431.70"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,16,2025-10-30,182.50,189.60,182.10,188.00,2.51,"230,579.00","43,191,975.30"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,17,2025-10-29,188.00,190.40,183.40,183.40,-1.82,"291,733.00","54,573,975.40"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,18,2025-10-28,178.00,187.90,178.00,186.80,5.54,"321,865.00","59,232,754.20"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,19,2025-10-26,181.50,181.50,174.70,177.00,-0.56,"100,604.00","17,807,606.30"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,20,2025-10-19,181.00,181.00,178.00,178.00,-0.06,"108,436.00","19,387,282.90"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,21,2025-10-16,181.90,181.90,177.60,178.10,-1.22,"94,393.00","16,905,233.50"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,22,2025-10-15,180.30,182.80,179.00,180.30,-0.72,"165,459.00","29,872,842.10"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,23,2025-10-14,181.00,184.90,180.00,181.60,-0.16,"433,097.00","78,199,927.50"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,24,2025-10-13,179.00,182.60,175.10,181.90,1.90,"322,739.00","58,100,109.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,25,2025-10-12,185.00,185.00,175.30,178.50,-2.99,"410,414.00","73,438,003.60"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,26,2025-10-09,183.60,194.80,183.50,184.00,2.22,"401,688.00","75,321,341.40"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,27,2025-10-08,188.00,188.00,178.90,180.00,-4.26,"395,498.00","71,955,846.50"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,28,2025-10-07,193.20,193.40,187.90,188.00,-4.52,"280,575.00","53,312,732.10"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,29,2025-09-28,197.10,200.50,195.00,196.90,0.92,"128,205.00","25,182,434.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,30,2025-09-25,193.00,197.10,192.20,195.10,0.00,"117,207.00","22,776,292.90"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,31,2025-09-24,197.10,197.80,195.00,195.10,-1.41,"77,418.00","15,152,013.60"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,32,2025-09-23,193.00,200.00,193.00,197.90,1.34,"111,478.00","22,032,908.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,33,2025-09-21,178.00,197.60,178.00,195.29,8.43,"312,343.00","59,899,600.10"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,34,2025-09-18,191.00,192.20,177.00,180.10,-7.54,"35,310.00","6,471,306.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,35,2025-09-08,198.00,200.00,194.00,194.79,-1.94,"235,015.00","46,114,891.50"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,36,2025-09-07,201.00,201.20,198.10,198.65,-0.59,"82,755.00","16,508,067.90"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,37,2025-09-04,200.10,202.00,198.10,199.83,-0.23,"134,393.00","26,828,594.60"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,38,2025-09-03,197.90,204.30,197.90,200.30,-0.80,"148,520.00","29,862,662.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,39,2025-09-02,206.70,206.70,201.50,201.92,-0.37,"116,265.00","23,501,791.80"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,40,2025-09-01,206.10,206.10,201.20,202.67,0.27,"115,941.00","23,514,274.70"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,41,2025-08-31,205.00,206.00,201.00,202.13,-1.25,"163,166.00","33,021,012.40"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,42,2025-08-28,210.00,211.00,204.20,204.69,-2.18,"273,029.00","56,473,484.60"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,43,2025-08-27,203.60,210.00,202.00,209.25,2.78,"220,117.00","45,542,856.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,44,2025-08-26,200.00,209.00,200.00,203.59,-0.22,"54,410.00","11,106,719.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,45,2025-08-25,205.20,205.20,200.10,204.03,0.28,"122,542.00","24,933,611.20"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,46,2025-08-24,205.40,205.50,201.00,203.47,-0.36,"244,106.00","49,675,146.00"
hidclp,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hidclp,47,2025-08-21,206.00,206.90,204.00,204.21,-0.84,"173,971.00","35,575,628.90"
