symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,1,2025-11-19,663.40,744.50,663.40,744.50,9.99,"56,113.00","40,254,618.30"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,2,2025-11-18,622.00,678.30,622.00,676.90,8.70,"31,242.00","20,476,250.20"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,3,2025-11-17,601.10,633.40,601.10,622.70,3.08,"18,153.00","11,305,147.80"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,4,2025-11-16,595.40,617.10,595.40,604.10,0.68,"9,133.00","5,548,529.70"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,5,2025-11-13,595.00,612.00,595.00,600.00,0.17,"9,741.00","5,895,342.70"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,6,2025-11-12,597.00,602.00,594.00,599.00,-1.48,"5,670.00","3,385,857.80"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,7,2025-11-11,585.10,609.00,585.10,608.00,1.84,"7,320.00","4,381,554.70"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,8,2025-11-10,595.00,610.00,595.00,597.00,-0.83,"7,150.00","4,286,960.50"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,9,2025-11-09,600.00,612.50,600.00,602.00,-1.31,"10,426.00","6,305,813.60"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,10,2025-11-06,615.00,625.00,608.50,610.00,-2.04,"7,848.00","4,823,851.50"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,11,2025-11-05,613.00,624.70,613.00,622.70,-0.21,"7,197.00","4,436,662.90"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,12,2025-11-04,630.00,636.00,617.40,624.00,-1.73,"7,138.00","4,435,386.80"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,13,2025-11-03,646.00,650.00,626.00,635.00,-1.70,"9,340.00","5,928,805.60"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,14,2025-11-02,605.50,646.00,605.10,646.00,5.04,"16,879.00","10,566,557.00"
himstar,Him Star Urja Company Limited,Hydropower,https://www.sharesansar.com/company/himstar,15,2025-10-30,603.00,620.00,600.00,615.00,0.33,"10,128.00","6,173,577.60"
