symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,1,2025-11-19,909.00,910.00,890.20,895.00,-0.56,"1,025.00","916,935.00"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,2,2025-11-18,895.30,900.00,895.30,900.00,0.56,"1,658.00","1,489,872.60"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,3,2025-11-17,878.00,895.00,878.00,895.00,1.42,"2,457.00","2,177,422.10"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,4,2025-11-16,883.00,883.00,880.00,882.50,-0.28,573.00,"505,143.40"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,5,2025-11-13,883.00,890.00,883.00,885.00,-1.78,196.00,"173,268.00"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,6,2025-11-12,890.00,901.00,888.00,901.00,-0.32,884.00,"785,945.00"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,7,2025-11-11,890.00,906.80,883.00,903.90,0.33,"1,663.00","1,477,424.40"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,8,2025-11-10,900.10,900.90,883.00,900.90,-0.34,929.00,"826,779.60"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,9,2025-11-09,901.10,904.00,890.00,904.00,-1.04,"2,986.00","2,664,530.40"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,10,2025-11-06,893.10,938.20,892.00,913.50,0.38,"3,135.00","2,839,505.30"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,11,2025-11-05,895.00,910.00,893.50,910.00,2.25,"2,463.00","2,216,420.00"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,12,2025-11-04,906.00,906.00,890.00,890.00,-1.66,"1,817.00","1,625,097.40"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,13,2025-11-03,934.00,934.00,903.00,905.00,-1.32,"3,675.00","3,340,634.30"
hlbsl,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,https://www.sharesansar.com/company/hlbsl,14,2025-11-02,915.00,930.00,915.00,917.10,0.78,"2,109.00","1,940,176.00"
