symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,1,2025-11-20,9.14,9.25,9.01,9.25,-0.54,"1,810.00","16,497.50"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,2,2025-11-19,8.95,9.30,8.93,9.30,2.20,"12,800.00","114,538.00"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,3,2025-11-18,8.93,9.10,8.93,9.10,0.00,"1,800.00","16,159.00"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,4,2025-11-17,8.80,9.10,8.80,9.10,2.36,"3,000.00","26,965.00"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,5,2025-11-16,8.92,9.28,8.89,8.89,-2.31,"7,870.00","71,451.40"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,6,2025-11-13,9.00,9.10,9.00,9.10,0.89,600.00,"5,412.00"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,7,2025-11-12,9.35,9.35,8.99,9.02,-4.55,"3,300.00","29,948.00"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,8,2025-11-11,9.00,9.45,9.00,9.45,5.00,"7,820.00","72,302.00"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,9,2025-11-10,9.10,9.20,8.99,9.00,-1.85,"8,200.00","74,164.00"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,10,2025-11-09,9.31,9.32,9.13,9.17,-3.47,"3,290.00","30,242.40"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,11,2025-11-06,9.51,9.80,9.33,9.50,-2.06,"7,500.00","71,349.00"
hlicf,HLI Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/hlicf,12,2025-11-05,10.00,10.00,9.28,9.70,-3.00,"3,020.00","28,790.20"
