symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,1,2025-07-16,221.50,221.50,221.50,221.50,0.00,"112,240.00","24,861,160.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,2,2025-07-02,221.50,221.50,221.50,221.50,0.00,"163,814.00","36,284,801.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,3,2025-07-01,221.50,221.50,221.50,221.50,-1.99,"163,293.00","36,169,399.50"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,4,2025-05-22,226.00,226.00,226.00,226.00,0.00,"181,012.00","40,908,712.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,5,2024-12-16,241.00,241.00,241.00,241.00,0.00,"79,392.00","19,133,472.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,6,2024-12-01,241.00,241.00,241.00,241.00,0.00,100.00,"24,100.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,7,2024-11-27,242.00,242.00,241.00,241.00,0.00,"286,534.00","69,054,794.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,8,2024-11-26,241.00,241.00,241.00,241.00,-1.91,"85,000.00","20,485,000.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,9,2024-11-24,255.80,255.80,245.70,245.70,-5.86,"85,000.00","21,035,500.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,10,2024-11-13,256.00,261.00,256.00,261.00,3.98,"196,973.00","50,909,953.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,11,2024-09-23,251.00,251.00,251.00,251.00,-0.16,"21,304.00","5,347,304.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,12,2024-07-31,237.00,251.40,237.00,251.40,6.08,"115,000.00","28,582,880.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,13,2024-07-30,175.00,175.00,175.00,175.00,1.74,"9,240.00","1,617,000.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,14,2024-07-15,172.00,172.00,172.00,172.00,-1.71,"156,871.00","26,981,812.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,15,2024-06-24,175.00,175.00,175.00,175.00,0.00,"64,509.00","11,289,075.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,16,2023-12-14,255.00,255.00,255.00,255.00,7.59,"190,406.00","48,553,530.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,17,2023-12-11,237.00,237.00,237.00,237.00,-1.66,"62,000.00","14,694,000.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,18,2023-09-25,241.00,241.00,241.00,241.00,0.00,"49,228.00","11,863,948.00"
hlipo,Himalayan Life Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/hlipo,19,2023-08-29,241.00,241.00,241.00,241.00,0.00,"51,450.00","12,399,450.00"
