symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,1,2025-11-19,230.00,230.00,223.80,224.00,-1.41,"34,319.00","7,727,664.50"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,2,2025-11-18,225.50,229.50,225.30,227.20,1.34,"139,208.00","31,563,677.40"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,3,2025-11-17,223.50,225.50,218.30,224.20,0.76,"42,267.00","9,460,471.10"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,4,2025-11-16,224.40,224.40,217.00,222.50,1.14,"28,597.00","6,294,794.50"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,5,2025-11-13,225.80,225.80,218.60,220.00,-0.90,"38,886.00","8,596,803.20"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,6,2025-11-12,227.10,227.10,218.90,222.00,-0.31,"35,376.00","7,822,606.70"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,7,2025-11-11,222.00,224.00,218.00,222.70,1.23,"28,445.00","6,268,352.20"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,8,2025-11-10,222.00,222.00,217.00,220.00,0.00,"25,181.00","5,519,267.50"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,9,2025-11-09,220.00,224.40,220.00,220.00,-1.57,"41,489.00","9,165,571.00"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,10,2025-11-06,226.00,230.50,223.00,223.50,-1.97,"60,058.00","13,610,459.60"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,11,2025-11-05,222.60,229.00,221.00,228.00,0.44,"72,801.00","16,368,955.10"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,12,2025-11-04,235.60,235.60,223.00,227.00,-1.73,"73,461.00","16,737,851.70"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,13,2025-11-03,232.30,239.90,230.30,231.00,-2.53,"117,836.00","27,607,854.70"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,14,2025-11-02,220.00,239.80,220.00,237.00,5.90,"191,320.00","44,893,077.00"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,15,2025-10-30,220.30,224.00,214.20,223.80,3.61,"62,806.00","13,867,215.10"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,16,2025-10-29,220.00,221.30,213.00,216.00,-0.46,"106,999.00","23,365,193.50"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,17,2025-10-28,208.00,218.80,208.00,217.00,3.83,"35,989.00","7,762,644.00"
hurja,Himalaya Urja Bikas Company Limited,Hydropower,https://www.sharesansar.com/company/hurja,18,2025-10-26,208.70,209.00,204.60,209.00,0.14,"24,783.00","5,107,696.50"
