symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,1,2025-11-19,640.00,640.00,620.20,621.00,-1.43,"2,475.00","1,543,385.20"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,2,2025-11-18,624.00,634.00,620.00,630.00,2.11,"6,682.00","4,196,108.90"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,3,2025-11-17,613.00,620.00,612.40,617.00,0.82,"3,504.00","2,159,351.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,4,2025-11-16,615.10,621.00,611.00,612.00,-0.49,"4,203.00","2,582,362.90"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,5,2025-11-13,622.50,622.50,611.00,615.00,0.77,"7,338.00","4,520,227.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,6,2025-11-12,620.00,630.00,610.30,610.30,-1.96,"7,287.00","4,512,985.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,7,2025-11-11,640.00,640.00,620.00,622.50,-0.86,"9,335.00","5,829,312.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,8,2025-11-10,635.00,644.00,620.10,627.90,-0.65,"9,232.00","5,779,543.40"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,9,2025-11-09,655.00,660.00,632.00,632.00,-3.07,"21,599.00","13,855,122.70"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,10,2025-11-06,675.00,675.00,651.80,652.00,-2.40,"8,398.00","5,554,340.70"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,11,2025-11-05,638.10,668.00,635.00,668.00,3.57,"28,316.00","18,551,807.40"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,12,2025-11-04,667.90,667.90,645.00,645.00,-2.27,"11,558.00","7,505,775.70"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,13,2025-11-03,660.00,665.00,648.20,660.00,0.61,"16,333.00","10,714,267.40"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,14,2025-11-02,640.00,660.00,635.00,656.00,4.13,"29,119.00","18,890,893.50"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,15,2025-10-30,627.00,638.00,610.00,630.00,2.44,"13,382.00","8,396,041.60"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,16,2025-10-29,625.00,640.00,615.00,615.00,-0.87,"7,698.00","4,797,249.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,17,2025-10-28,618.10,628.00,605.80,620.40,2.38,"6,011.00","3,723,500.10"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,18,2025-10-26,602.00,606.00,595.40,606.00,-0.66,"3,747.00","2,248,504.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,19,2025-10-19,595.00,615.00,595.00,610.00,0.66,"9,138.00","5,574,087.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,20,2025-10-16,615.00,615.00,605.00,606.00,-1.46,"9,717.00","5,906,972.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,21,2025-10-15,615.00,621.00,609.00,615.00,-0.97,"8,132.00","4,981,520.20"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,22,2025-10-14,622.00,624.70,612.60,621.00,-0.64,"7,574.00","4,676,796.50"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,23,2025-10-13,606.10,626.00,605.00,625.00,1.79,"6,822.00","4,209,987.20"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,24,2025-10-12,637.00,639.90,614.00,614.00,-3.61,"32,237.00","19,992,330.10"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,25,2025-10-09,645.10,684.00,637.00,637.00,0.71,"8,545.00","5,506,060.50"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,26,2025-10-08,645.00,649.00,630.10,632.50,-2.69,"11,220.00","7,131,035.70"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,27,2025-10-07,662.00,662.00,642.00,650.00,-1.66,"11,943.00","7,759,624.50"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,28,2025-09-28,651.00,670.00,650.20,661.00,0.00,"6,377.00","4,211,287.30"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,29,2025-09-25,663.00,668.00,647.00,661.00,0.38,"5,859.00","3,866,108.80"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,30,2025-09-24,665.00,670.00,658.00,658.50,-2.44,"7,176.00","4,746,579.20"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,31,2025-09-23,667.00,675.00,660.00,675.00,2.03,"14,613.00","9,755,405.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,32,2025-09-21,620.40,665.00,619.00,661.60,4.52,"24,503.00","15,653,784.10"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,33,2025-09-18,634.60,634.60,633.00,633.00,-2.24,225.00,"142,745.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,34,2025-09-08,656.00,664.00,643.00,647.52,-1.83,"20,383.00","13,271,951.90"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,35,2025-09-07,670.00,670.00,657.00,659.57,-0.32,"7,287.00","4,826,618.50"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,36,2025-09-04,660.00,667.00,653.30,661.66,0.70,"11,353.00","7,479,445.80"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,37,2025-09-03,670.00,670.00,657.00,657.04,-0.62,"13,233.00","8,729,138.10"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,38,2025-09-02,675.00,675.00,660.20,661.11,-0.74,"10,611.00","7,037,876.60"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,39,2025-09-01,672.00,672.00,657.00,666.05,0.55,"9,817.00","6,521,469.70"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,40,2025-08-31,670.00,680.00,662.00,662.38,-1.21,"18,194.00","12,123,928.70"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,41,2025-08-28,690.00,690.10,669.70,670.46,-2.33,"28,273.00","19,285,432.50"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,42,2025-08-27,676.60,689.80,675.00,686.42,1.44,"32,411.00","22,201,078.80"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,43,2025-08-26,670.00,678.00,668.10,676.65,1.00,"18,610.00","12,571,207.70"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,44,2025-08-25,664.93,674.00,664.50,669.97,0.76,"14,672.00","9,822,013.80"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,45,2025-08-24,669.00,675.00,663.70,664.93,0.42,"15,378.00","10,290,364.00"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,46,2025-08-21,668.00,672.80,660.00,662.12,-0.23,"11,579.00","7,671,687.30"
icfc,ICFC Finance Limited,Finance,https://www.sharesansar.com/company/icfc,47,2025-08-20,674.00,674.70,662.40,663.63,-0.76,"20,808.00","13,871,912.00"
