symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,1,2025-11-19,"1,200.00","1,200.00","1,200.00","1,200.00",0.00,190.00,"228,000.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,2,2025-11-18,"1,193.40","1,205.00","1,193.40","1,200.00",2.56,100.00,"120,034.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,3,2025-11-12,"1,170.00","1,170.00","1,170.00","1,170.00",0.69,50.00,"58,500.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,4,2025-10-30,"1,162.00","1,162.00","1,162.00","1,162.00",-1.94,100.00,"116,200.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,5,2025-10-16,"1,175.00","1,185.00","1,175.00","1,185.00",0.59,200.00,"236,400.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,6,2025-10-15,"1,178.00","1,178.00","1,178.00","1,178.00",0.00,30.00,"35,340.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,7,2025-10-13,"1,178.00","1,178.00","1,178.00","1,178.00",1.99,50.00,"58,900.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,8,2025-10-12,"1,158.00","1,158.00","1,155.00","1,155.00",-0.43,120.00,"138,795.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,9,2025-10-09,"1,160.00","1,160.00","1,160.00","1,160.00",0.00,100.00,"116,000.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,10,2025-10-08,"1,170.00","1,170.00","1,160.00","1,160.00",-0.85,452.00,"526,320.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,11,2025-10-07,"1,180.00","1,180.00","1,170.00","1,170.00",-0.85,125.00,"146,500.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,12,2025-09-28,"1,180.00","1,180.00","1,180.00","1,180.00",-0.84,75.00,"88,500.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,13,2025-09-25,"1,190.00","1,190.00","1,190.00","1,190.00",-0.42,25.00,"29,750.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,14,2025-09-24,"1,190.00","1,195.00","1,190.00","1,195.00",0.00,340.00,"405,700.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,15,2025-09-23,"1,210.30","1,210.30","1,195.00","1,195.00",-3.24,425.00,"509,318.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,16,2025-09-07,"1,259.30","1,259.30","1,235.00","1,235.00",-3.88,112.00,"140,069.60"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,17,2025-09-02,"1,311.10","1,311.10","1,311.10","1,284.90",-2.00,1.00,"1,284.90"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,18,2025-09-01,"1,337.80","1,337.80","1,337.80","1,311.10",-2.00,1.00,"1,311.10"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,19,2025-08-05,"1,337.80","1,337.80","1,337.80","1,337.80",-2.00,300.00,"401,340.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,20,2025-07-16,"1,285.00","1,368.90","1,265.00","1,365.07",6.23,301.00,"389,346.50"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,21,2025-07-15,"1,235.00","1,260.00","1,210.30","1,285.00",1.98,270.00,"331,043.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,22,2025-07-10,"1,249.71","1,249.71","1,249.71","1,260.00",0.82,5.00,"6,300.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,23,2025-07-09,"1,200.00","1,250.00","1,200.00","1,249.71",2.10,583.00,"715,587.50"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,24,2025-07-08,"1,248.60","1,248.60","1,199.60","1,224.00",-3.92,385.00,"470,998.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,25,2025-07-07,"1,300.00","1,300.00","1,274.00","1,274.00",-1.14,60.00,"76,700.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,26,2025-07-06,"1,315.00","1,315.00","1,288.70","1,288.70",-0.10,25.00,"32,480.50"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,27,2025-07-03,"1,295.00","1,295.00","1,290.00","1,290.00",-0.39,450.00,"581,500.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,28,2025-06-30,"1,245.70","1,295.00","1,245.70","1,295.00",3.96,15.00,"19,300.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,29,2025-06-29,"1,221.30","1,245.70","1,221.30","1,245.70",4.03,23.00,"28,357.00"
icfcd83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/icfcd83,30,2025-06-16,"1,174.00","1,174.00","1,174.00","1,197.40",1.99,1.00,"1,197.40"
