symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,1,2025-05-26,340.00,340.00,340.00,340.00,0.00,"14,000.00","4,760,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,2,2025-04-24,340.00,340.00,340.00,340.00,0.00,"80,000.00","14,800,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,3,2024-12-22,310.00,310.00,310.00,310.00,0.00,"1,000.00","205,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,4,2024-07-01,511.11,511.11,511.11,511.11,0.00,100.00,"51,111.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,5,2024-02-20,310.00,310.00,310.00,310.00,0.00,"3,108.00","963,480.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,6,2022-06-26,296.00,296.00,296.00,296.00,0.00,"1,000.00","296,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,7,2022-05-04,296.00,296.00,296.00,296.00,-2.63,"20,000.00","5,920,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,8,2020-09-27,310.00,310.00,304.00,304.00,-3.80,"76,129.00","23,143,276.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,9,2020-09-22,316.00,316.00,316.00,316.00,0.00,"20,000.00","6,320,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,10,2019-07-18,248.00,248.00,248.00,248.00,0.00,"25,000.00","6,200,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,11,2019-06-26,248.00,248.00,248.00,248.00,0.00,"97,200.00","24,105,600.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,12,2019-04-30,248.00,248.00,248.00,248.00,-0.80,"1,000.00","248,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,13,2018-12-16,250.00,250.00,250.00,250.00,0.00,"105,000.00","26,250,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,14,2018-12-12,250.00,250.00,250.00,250.00,0.00,"195,000.00","48,750,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,15,2017-03-29,100.00,200.00,200.00,200.00,0.00,"195,500.00","39,100,000.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,16,2017-01-02,100.00,100.00,100.00,100.00,0.00,"70,588.00","7,058,800.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,17,2017-01-01,100.00,100.00,100.00,100.00,0.00,"55,674.00","5,567,400.00"
igipo,IME General Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/igipo,18,2015-01-08,0.00,0.00,0.00,0.00,0.00,"646,000.00","52,726,000.00"
