symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,1,2025-11-10,100.00,100.00,100.00,100.00,0.00,"55,615.00","27,807,500.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,2,2025-11-09,100.00,100.00,100.00,100.00,0.00,"22,655.00","11,327,500.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,3,2025-11-06,100.00,100.00,100.00,100.00,0.00,"103,060.00","51,530,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,4,2025-11-05,100.00,100.00,100.00,100.00,0.00,"25,000.00","12,500,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,5,2025-11-04,100.00,100.00,100.00,100.00,0.00,"44,670.00","22,335,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,6,2025-08-12,100.00,100.00,100.00,100.00,0.00,"78,500.00","39,250,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,7,2025-07-16,100.00,100.00,100.00,100.00,0.00,750.00,"450,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,8,2025-07-02,100.00,100.00,100.00,100.00,0.00,"20,500.00","10,865,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,9,2025-07-01,100.00,100.00,100.00,100.00,0.00,"8,000.00","4,240,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,10,2025-06-25,100.00,100.00,100.00,100.00,0.00,"151,520.00","81,820,800.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,11,2025-04-22,100.00,100.00,100.00,100.00,0.00,750.00,"397,500.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,12,2025-04-21,100.00,100.00,100.00,100.00,0.00,"6,950.00","3,778,300.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,13,2025-04-20,100.00,100.00,100.00,530.00,0.00,"20,450.00","10,863,250.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,14,2025-02-20,100.00,100.00,100.00,100.00,0.00,"176,140.00","93,576,200.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,15,2025-02-09,100.00,100.00,100.00,100.00,0.00,"26,000.00","15,908,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,16,2024-12-26,100.00,100.00,100.00,100.00,0.00,"25,000.00","15,275,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,17,2024-12-17,100.00,100.00,100.00,100.00,0.00,500.00,"320,500.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,18,2024-12-11,100.00,100.00,100.00,100.00,0.00,500.00,"303,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,19,2024-12-09,100.00,100.00,100.00,100.00,0.00,"19,500.00","12,623,750.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,20,2024-12-08,100.00,100.00,100.00,100.00,0.00,750.00,"486,000.00"
jblbp,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter,Promoter Share,https://www.sharesansar.com/company/jblbp,21,2022-02-15,100.00,100.00,100.00,100.00,0.00,"478,338.00","47,833,800.00"
