symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,1,2025-11-19,430.00,435.00,425.00,425.00,-1.21,"2,839.00","1,214,011.30"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,2,2025-11-18,437.90,438.20,425.10,430.20,0.09,"5,883.00","2,532,513.60"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,3,2025-11-17,430.00,433.00,424.00,429.80,0.42,"5,636.00","2,410,599.70"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,4,2025-11-16,424.00,434.00,424.00,428.00,-0.70,"3,876.00","1,661,053.80"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,5,2025-11-13,430.00,438.00,428.00,431.00,0.23,"5,929.00","2,563,111.80"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,6,2025-11-12,440.00,445.00,430.00,430.00,-1.60,"7,252.00","3,141,311.60"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,7,2025-11-11,433.00,441.00,432.20,437.00,0.23,"4,658.00","2,027,064.00"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,8,2025-11-10,440.00,440.00,436.00,436.00,-0.46,"5,161.00","2,254,152.70"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,9,2025-11-09,450.00,450.00,437.00,438.00,-3.74,"8,853.00","3,914,394.20"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,10,2025-11-06,462.00,468.90,453.10,455.00,0.44,"21,500.00","9,888,526.00"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,11,2025-11-05,444.00,454.00,438.60,453.00,2.03,"9,979.00","4,493,233.50"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,12,2025-11-04,453.70,465.00,439.00,444.00,-0.22,"11,729.00","5,270,303.60"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,13,2025-11-03,456.00,457.00,438.10,445.00,-0.67,"12,152.00","5,445,464.40"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,14,2025-11-02,423.00,450.00,423.00,448.00,4.87,"20,824.00","9,203,088.30"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,15,2025-10-30,438.00,438.00,426.00,427.20,-0.65,"7,013.00","3,013,337.20"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,16,2025-10-29,442.00,450.00,427.00,430.00,-0.92,"5,457.00","2,381,076.40"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,17,2025-10-28,421.00,434.00,419.00,434.00,5.08,"4,790.00","2,049,451.00"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,18,2025-10-26,418.00,420.00,409.00,413.00,-1.20,"6,948.00","2,861,343.90"
jfl,Janaki Finance Company Limited,Finance,https://www.sharesansar.com/company/jfl,19,2025-10-19,412.50,420.10,412.10,418.00,-0.48,"3,359.00","1,392,184.00"
