symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,1,2025-11-19,"1,122.10","1,139.00","1,120.00","1,135.00",-0.67,615.00,"690,522.60"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,2,2025-11-18,"1,122.00","1,142.70","1,120.00","1,142.70",1.84,"1,385.00","1,554,329.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,3,2025-11-17,"1,120.30","1,140.00","1,120.30","1,122.00",-1.58,590.00,"662,108.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,4,2025-11-16,"1,161.50","1,172.00","1,118.00","1,140.00",-0.87,548.00,"622,751.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,5,2025-11-13,"1,120.00","1,150.00","1,095.00","1,150.00",0.97,388.00,"435,524.50"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,6,2025-11-12,"1,142.00","1,142.00","1,139.00","1,139.00",-1.98,340.00,"387,362.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,7,2025-11-11,"1,136.00","1,162.00","1,136.00","1,162.00",0.61,140.00,"159,340.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,8,2025-11-10,"1,150.00","1,155.00","1,127.00","1,155.00",-0.23,"1,438.00","1,632,401.80"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,9,2025-11-09,"1,199.90","1,199.90","1,135.00","1,157.70",-1.96,497.00,"572,587.20"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,10,2025-11-06,"1,166.00","1,180.90","1,164.00","1,180.90",-0.60,841.00,"981,268.20"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,11,2025-11-05,"1,180.00","1,188.00","1,157.10","1,188.00",-0.98,400.00,"467,970.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,12,2025-11-04,"1,181.00","1,199.80","1,180.00","1,199.80",0.01,715.00,"845,726.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,13,2025-11-03,"1,231.00","1,231.00","1,182.00","1,199.70",-0.65,312.00,"372,389.20"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,14,2025-11-02,"1,202.50","1,225.00","1,188.00","1,207.50",2.42,813.00,"971,221.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,15,2025-10-30,"1,130.00","1,194.00","1,120.00","1,179.00",3.24,"1,637.00","1,903,508.10"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,16,2025-10-29,"1,126.00","1,167.00","1,126.00","1,142.00",-0.50,617.00,"699,370.50"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,17,2025-10-28,"1,111.00","1,149.70","1,111.00","1,147.70",1.69,732.00,"823,148.60"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,18,2025-10-26,"1,106.50","1,128.60","1,067.20","1,128.60",-0.04,"1,319.00","1,434,678.40"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,19,2025-10-19,"1,146.40","1,146.40","1,059.00","1,129.00",0.44,930.00,"1,026,140.90"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,20,2025-10-16,"1,128.00","1,146.90","1,124.00","1,124.00",-2.09,364.00,"410,318.60"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,21,2025-10-15,"1,127.10","1,148.50","1,105.00","1,148.00",-0.17,979.00,"1,108,060.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,22,2025-10-14,"1,134.00","1,150.00","1,131.90","1,150.00",-0.42,296.00,"336,047.50"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,23,2025-10-13,"1,137.20","1,159.50","1,135.00","1,154.90",-0.44,517.00,"588,304.80"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,24,2025-10-12,"1,150.10","1,160.00","1,127.00","1,160.00",-1.11,"2,927.00","3,335,579.80"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,25,2025-10-09,"1,193.40","1,217.20","1,173.00","1,173.00",0.26,432.00,"514,810.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,26,2025-10-08,"1,190.70","1,190.70","1,166.90","1,170.00",-3.69,"1,192.00","1,394,186.10"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,27,2025-10-07,"1,200.00","1,214.80","1,190.50","1,214.80",-0.02,900.00,"1,073,157.40"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,28,2025-09-28,"1,205.10","1,215.00","1,201.00","1,215.00",-0.82,837.00,"1,008,790.50"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,29,2025-09-25,"1,224.00","1,225.00","1,224.00","1,225.00",1.24,20.00,"24,490.00"
jslbb,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/jslbb,30,2025-09-24,"1,206.00","1,210.00","1,190.00","1,210.00",-1.63,"1,066.00","1,274,426.60"
