symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,1,2019-06-30,128.00,128.00,128.00,128.00,0.00,"10,000.00","1,280,000.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,2,2019-06-25,128.00,128.00,128.00,128.00,11.30,"3,300.00","422,400.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,3,2019-03-19,115.00,115.00,115.00,115.00,-16.06,"12,577.00","1,446,355.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,4,2018-09-18,137.00,137.00,137.00,137.00,0.00,"7,467.00","1,022,979.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,5,2018-08-22,137.00,137.00,137.00,137.00,0.00,"25,155.00","3,446,235.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,6,2018-07-10,137.00,137.00,137.00,137.00,0.00,"13,160.00","1,802,920.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,7,2018-05-20,137.00,137.00,137.00,137.00,0.00,"6,713.00","919,681.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,8,2018-01-29,186.00,186.00,186.00,186.00,0.00,"36,250.00","6,742,500.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,9,2017-11-15,186.00,186.00,186.00,186.00,0.00,"8,783.00","1,633,638.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,10,2017-11-09,186.00,186.00,186.00,186.00,0.00,"7,636.00","1,420,296.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,11,2017-11-07,189.00,186.00,186.00,186.00,0.00,"40,000.00","7,440,000.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,12,2017-10-17,186.00,189.00,189.00,189.00,0.00,"51,757.00","9,782,073.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,13,2017-09-10,186.00,186.00,186.00,186.00,0.00,"10,000.00","1,860,000.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,14,2017-09-06,186.00,186.00,186.00,186.00,0.00,715.00,"132,990.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,15,2017-08-07,184.00,186.00,186.00,186.00,0.00,"6,582.00","1,224,252.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,16,2016-12-28,358.00,358.00,358.00,358.00,0.00,"15,770.00","5,645,660.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,17,2016-12-27,357.00,358.00,358.00,358.00,0.00,"54,942.00","19,669,236.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,18,2016-12-26,350.00,357.00,357.00,357.00,0.00,"5,266.00","1,879,962.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,19,2016-11-20,350.00,350.00,350.00,350.00,0.00,"10,000.00","3,500,000.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,20,2016-10-06,350.00,350.00,350.00,350.00,0.00,"10,000.00","3,500,000.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,21,2016-09-11,350.00,350.00,350.00,350.00,0.00,"11,700.00","4,095,000.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,22,2016-09-07,350.00,350.00,350.00,350.00,0.00,"16,400.00","5,740,000.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,23,2014-06-25,176.00,176.00,176.00,176.00,0.00,"7,019.00","1,235,344.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,24,2014-03-26,176.00,176.00,176.00,176.00,0.00,"20,100.00","3,537,600.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,25,2014-03-10,176.00,176.00,176.00,176.00,0.00,"16,370.00","2,881,120.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,26,2014-03-06,176.00,176.00,176.00,176.00,0.00,"17,619.00","3,100,944.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,27,2014-02-25,176.00,176.00,176.00,176.00,0.00,"6,050.00","1,064,800.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,28,2014-01-26,176.00,176.00,176.00,176.00,0.00,"4,000.00","704,000.00"
kbblpo,Kailash Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kbblpo,29,2013-12-22,176.00,176.00,176.00,176.00,0.00,"23,000.00","4,048,000.00"
