symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,1,2025-11-05,"1,495.00","1,495.00","1,495.00","1,495.00",0.00,1.00,"1,495.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,2,2025-10-13,"1,382.10","1,495.00","1,382.10","1,495.00",6.01,"165,802.00","244,523,345.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,3,2025-08-13,"1,439.00","1,439.00","1,439.00","1,410.30",-1.99,1.00,"1,410.30"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,4,2025-07-20,"1,439.00","1,439.00","1,439.00","1,439.00",1.85,10.00,"14,390.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,5,2025-07-16,"1,310.00","1,412.90","1,310.00","1,412.90",10.00,368.00,"498,693.90"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,6,2025-07-15,"1,220.20","1,320.00","1,220.20","1,284.47",5.27,350.00,"447,670.10"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,7,2025-07-14,"1,153.60","1,235.00","1,153.60","1,220.20",5.77,50.00,"60,688.50"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,8,2025-07-13,"1,131.00","1,131.00","1,131.00","1,153.60",2.00,5.00,"5,768.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,9,2025-07-10,"1,131.00","1,131.00","1,131.00","1,131.00",-1.61,25.00,"28,275.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,10,2025-07-03,"1,127.00","1,127.00","1,127.00","1,149.50",2.00,5.00,"5,747.50"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,11,2025-06-10,"1,135.00","1,135.00","1,128.00","1,127.00",-0.56,100.00,"113,266.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,12,2025-06-09,"1,133.30","1,133.30","1,133.30","1,133.30",-2.00,26.00,"29,465.80"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,13,2025-06-05,"1,156.40","1,156.40","1,156.40","1,156.40",-2.00,55.00,"63,602.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,14,2025-05-26,"1,159.00","1,180.00","1,159.00","1,180.00",-0.17,125.00,"146,975.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,15,2025-05-15,"1,182.00","1,182.00","1,182.00","1,182.00",0.77,35.00,"41,370.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,16,2025-05-05,"1,173.00","1,173.00","1,173.00","1,173.00",0.00,44.00,"51,612.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,17,2025-04-29,"1,173.00","1,173.00","1,173.00","1,173.00",2.00,30.00,"35,190.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,18,2025-04-27,"1,150.00","1,150.00","1,150.00","1,150.00",1.41,25.00,"28,750.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,19,2025-04-23,"1,134.00","1,134.00","1,134.00","1,134.00",1.49,15.00,"17,010.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,20,2025-04-20,"1,117.40","1,117.40","1,117.40","1,117.40",-1.98,40.00,"44,696.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,21,2025-04-15,"1,140.00","1,140.00","1,140.00","1,140.00",0.00,25.00,"28,500.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,22,2025-04-07,"1,140.00","1,140.00","1,140.00","1,140.00",1.89,25.00,"28,500.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,23,2025-04-02,"1,118.90","1,118.90","1,118.90","1,118.90",-0.29,50.00,"55,945.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,24,2025-04-01,"1,118.00","1,118.00","1,118.00","1,122.10",0.37,1.00,"1,122.10"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,25,2025-03-30,"1,117.00","1,117.00","1,117.00","1,118.00",0.09,1.00,"1,118.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,26,2025-03-27,"1,120.00","1,120.00","1,117.00","1,117.00",0.08,87.00,"97,410.00"
kbld90,10% KBL Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/kbld90,27,2025-03-26,"1,115.40","1,115.40","1,115.40","1,116.10",0.06,1.00,"1,116.10"
