symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,1,2025-08-26,109.00,109.00,109.00,109.00,0.00,"188,400.00","20,535,600.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,2,2025-08-24,109.00,109.00,109.00,109.00,-1.80,"5,870.00","639,830.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,3,2025-08-14,111.00,111.00,111.00,111.00,0.00,"2,305.00","255,855.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,4,2025-07-31,111.00,111.00,111.00,111.00,0.00,"27,033.00","3,000,663.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,5,2025-07-21,111.00,111.00,111.00,111.00,0.00,"7,883.00","875,013.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,6,2025-07-20,111.00,111.00,111.00,111.00,0.00,"2,635.00","263,500.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,7,2025-06-24,111.00,111.00,111.00,111.00,-1.77,"24,372.00","2,705,292.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,8,2025-06-22,113.00,113.00,113.00,113.00,-1.74,"14,494.00","1,637,822.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,9,2025-06-12,115.00,115.00,115.00,115.00,0.00,"23,744.00","2,730,560.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,10,2025-06-10,115.00,115.00,115.00,115.00,0.00,"3,161.00","363,515.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,11,2025-06-08,115.00,115.00,115.00,115.00,0.00,"5,300.00","609,500.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,12,2025-04-20,115.00,115.00,115.00,115.00,0.00,"3,136.00","360,640.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,13,2025-03-11,100.00,100.00,100.00,100.00,0.00,813.00,"81,300.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,14,2025-02-20,100.00,100.00,100.00,100.00,0.00,"1,630.00","163,000.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,15,2025-02-02,100.00,100.00,100.00,100.00,0.00,"25,682.00","2,568,200.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,16,2025-01-20,100.00,100.00,100.00,100.00,0.00,"120,000.00","12,000,000.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,17,2025-01-19,100.00,100.00,100.00,100.00,0.00,"880,000.00","88,000,000.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,18,2024-12-19,100.00,100.00,100.00,100.00,0.00,"22,327.00","2,232,700.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,19,2024-12-12,100.00,100.00,100.00,100.00,0.00,"5,013.00","501,300.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,20,2024-11-24,100.00,100.00,100.00,100.00,0.00,"13,667.00","1,366,700.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,21,2024-11-10,100.00,100.00,100.00,100.00,0.00,"3,211.00","321,100.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,22,2024-10-27,100.00,100.00,100.00,100.00,0.00,"663,443.00","66,344,300.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,23,2024-10-21,100.00,100.00,100.00,100.00,0.00,"55,542.00","5,554,200.00"
kblpo,Kumari Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/kblpo,24,2024-10-07,100.00,100.00,100.00,100.00,-1.96,"2,460.00","246,000.00"
