symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,1,2016-07-25,150.00,153.00,153.00,153.00,0.00,"56,250.00","8,606,250.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,2,2016-06-30,150.00,150.00,150.00,150.00,0.00,"38,220.00","5,733,000.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,3,2016-05-16,138.00,150.00,140.00,150.00,0.00,"130,642.00","19,097,050.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,4,2016-04-25,144.00,142.00,138.00,138.00,0.00,"113,685.00","16,035,480.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,5,2014-07-03,100.00,0.00,0.00,100.00,0.00,"39,375.00","1,699,819.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,6,2014-04-02,100.00,0.00,0.00,100.00,0.00,"56,250.00","1,968,750.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,7,2013-10-28,100.00,100.00,100.00,100.00,0.00,"61,875.00","6,187,500.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,8,2013-07-22,100.00,100.00,100.00,100.00,0.00,"100,000.00","10,000,000.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,9,2013-07-15,100.00,0.00,0.00,100.00,0.00,"71,500.00","2,098,145.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,10,2013-07-07,100.00,100.00,100.00,100.00,0.00,"90,000.00","9,000,000.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,11,2013-07-03,100.00,100.00,100.00,100.00,0.00,"13,750.00","1,375,000.00"
kdblpo,Kasthamandap Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kdblpo,12,2013-06-27,0.00,100.00,100.00,100.00,0.00,"68,750.00","6,875,000.00"
