symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,1,2025-11-19,8.97,9.02,8.85,9.02,2.50,"14,550.00","130,415.50"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,2,2025-11-18,8.95,8.95,8.73,8.80,0.23,"1,395.00","12,321.15"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,3,2025-11-17,9.25,9.25,8.78,8.78,-3.94,"15,650.00","139,532.60"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,4,2025-11-16,9.20,9.20,8.84,9.14,1.33,"1,600.00","14,449.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,5,2025-11-13,8.82,9.02,8.82,9.02,0.22,"2,454.00","21,860.90"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,6,2025-11-12,8.70,9.03,8.70,9.00,1.58,"1,000.00","8,859.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,7,2025-11-11,8.84,9.14,8.84,8.86,-1.77,"4,000.00","35,682.80"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,8,2025-11-10,9.08,9.20,9.02,9.02,1.23,800.00,"7,270.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,9,2025-11-09,9.00,9.18,8.86,8.91,-1.00,"4,018.00","36,056.96"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,10,2025-11-06,9.15,9.36,8.85,9.00,0.00,"1,330.00","12,084.40"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,11,2025-11-05,9.09,9.27,9.00,9.00,-2.91,"2,427.00","22,108.86"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,12,2025-11-04,8.96,9.30,8.96,9.27,1.42,"1,300.00","11,879.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,13,2025-11-03,9.10,9.18,9.00,9.14,1.56,"22,250.00","202,517.50"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,14,2025-11-02,9.20,9.20,8.89,9.00,-1.10,"3,400.00","30,637.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,15,2025-10-30,9.09,9.16,8.81,9.10,2.02,"3,200.00","28,683.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,16,2025-10-29,9.06,9.21,8.88,8.92,0.34,"1,600.00","14,377.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,17,2025-10-28,9.29,9.29,8.65,8.89,-2.41,"8,100.00","72,097.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,18,2025-10-26,9.30,9.30,9.11,9.11,-0.11,"6,600.00","60,167.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,19,2025-10-19,9.13,9.13,8.96,9.12,1.79,300.00,"2,721.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,20,2025-10-16,8.90,8.96,8.75,8.96,0.90,"7,150.00","63,672.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,21,2025-10-15,8.71,9.06,8.71,8.88,0.00,"5,900.00","52,579.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,22,2025-10-14,8.82,8.88,8.61,8.88,-1.33,775.00,"6,768.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,23,2025-10-13,9.00,9.10,8.92,9.00,0.00,"3,700.00","33,317.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,24,2025-10-12,9.30,9.30,9.00,9.00,-1.32,"18,732.00","169,581.64"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,25,2025-10-09,8.93,9.14,8.93,9.12,2.24,"7,196.00","64,776.52"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,26,2025-10-08,8.90,8.93,8.89,8.92,-0.89,"6,070.00","54,109.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,27,2025-10-07,9.15,9.20,8.90,9.00,-2.70,"6,400.00","57,264.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,28,2025-09-28,8.82,9.35,8.82,9.25,2.78,"3,200.00","29,272.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,29,2025-09-25,9.22,9.22,8.86,9.00,-0.44,"11,470.00","103,717.60"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,30,2025-09-24,9.21,9.21,9.04,9.04,-1.95,"2,800.00","25,340.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,31,2025-09-23,8.70,9.40,8.70,9.22,5.98,"2,000.00","18,143.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,32,2025-09-21,8.77,8.82,8.60,8.70,-2.68,"5,700.00","49,407.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,33,2025-09-08,8.99,9.12,8.94,8.94,-2.51,"1,300.00","11,678.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,34,2025-09-07,8.91,9.26,8.74,9.17,0.99,"30,590.00","275,632.60"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,35,2025-09-04,8.99,9.08,8.85,9.08,1.91,"4,800.00","43,048.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,36,2025-09-03,8.91,9.08,8.91,8.91,0.00,"7,000.00","63,199.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,37,2025-09-02,8.81,9.09,8.81,8.91,-0.78,"12,600.00","112,875.80"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,38,2025-09-01,8.92,9.00,8.77,8.98,-1.32,"1,900.00","16,892.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,39,2025-08-31,8.90,9.15,8.90,9.10,0.55,"382,275.00","3,478,815.70"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,40,2025-08-28,8.80,9.05,8.71,9.05,1.12,"3,510.00","31,516.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,41,2025-08-27,9.08,9.08,8.80,8.95,0.11,"3,040.00","27,387.70"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,42,2025-08-26,8.84,9.01,8.84,8.94,-0.89,"12,560.00","112,323.90"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,43,2025-08-25,9.08,9.08,8.89,9.02,1.23,"29,720.00","268,220.25"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,44,2025-08-24,10.10,10.19,10.01,10.06,0.00,"227,575.00","2,291,836.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,45,2025-08-21,9.99,10.07,9.99,10.06,0.10,"18,400.00","184,654.00"
kef,Kumari Equity Fund,Mutual Fund,https://www.sharesansar.com/company/kef,46,2025-08-20,10.01,10.10,10.00,10.05,-0.20,"117,895.00","1,183,576.10"
