symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,1,2015-04-06,115.00,115.00,115.00,115.00,0.00,"10,197.00","1,172,655.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,2,2014-11-19,115.00,115.00,115.00,115.00,0.00,"7,343.00","844,445.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,3,2014-11-10,115.00,115.00,115.00,115.00,0.00,"5,997.00","689,655.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,4,2014-11-03,115.00,115.00,115.00,115.00,0.00,"12,000.00","1,380,000.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,5,2014-09-11,115.00,115.00,115.00,115.00,0.00,"1,800.00","207,000.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,6,2014-09-07,115.00,115.00,115.00,115.00,0.00,"20,884.00","2,401,660.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,7,2014-08-25,115.00,115.00,115.00,115.00,0.00,"17,386.00","1,999,390.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,8,2014-08-14,115.00,115.00,115.00,115.00,0.00,"13,037.00","1,499,255.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,9,2014-08-05,115.00,115.00,115.00,115.00,0.00,"61,103.00","7,026,845.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,10,2014-07-30,115.00,115.00,115.00,115.00,0.00,"34,995.00","4,024,425.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,11,2014-06-18,115.00,115.00,115.00,115.00,0.00,"13,725.00","1,578,375.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,12,2014-06-15,116.00,115.00,115.00,115.00,0.00,"19,533.00","2,246,295.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,13,2014-06-10,128.00,126.00,116.00,116.00,0.00,"44,007.00","5,278,422.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,14,2014-06-05,130.00,128.00,128.00,128.00,0.00,"10,511.00","1,345,408.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,15,2014-06-04,138.00,136.00,130.00,130.00,0.00,"26,516.00","3,561,354.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,16,2013-05-27,136.00,138.00,138.00,138.00,0.00,"1,825.00","251,850.00"
kflpo,Kathmandu Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kflpo,17,2012-06-13,138.00,136.00,136.00,136.00,0.00,"3,014.00","409,904.00"
