symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,1,2024-06-30,545.00,545.00,545.00,545.00,0.00,"2,000.00","1,090,000.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,2,2024-06-24,545.00,545.00,545.00,545.00,0.00,"2,848.00","1,552,160.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,3,2024-06-20,545.00,545.00,545.00,545.00,0.00,"19,260.00","10,496,700.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,4,2024-01-02,446.00,446.00,446.00,446.00,0.00,"1,605.00","715,830.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,5,2023-07-20,384.00,384.00,384.00,384.00,-1.79,"1,900.00","729,600.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,6,2023-04-30,391.00,391.00,391.00,391.00,0.00,"2,400.00","938,400.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,7,2023-04-24,391.00,391.00,391.00,391.00,0.00,"1,200.00","469,200.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,8,2023-03-22,391.00,391.00,391.00,391.00,0.00,"1,200.00","469,200.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,9,2022-08-10,671.00,671.00,671.00,671.00,0.00,"2,000.00","1,342,000.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,10,2022-08-05,671.00,671.00,671.00,671.00,0.00,"23,700.00","15,902,700.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,11,2022-07-17,671.00,671.00,671.00,671.00,0.00,"9,000.00","6,039,000.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,12,2022-07-15,671.00,671.00,671.00,671.00,0.00,"83,200.00","55,827,200.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,13,2022-07-14,671.00,671.00,671.00,671.00,0.00,"22,000.00","14,762,000.00"
klbslp,Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/klbslp,14,2022-07-13,671.00,671.00,671.00,671.00,0.00,"22,331.00","14,984,101.00"
