symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,1,2025-11-19,"1,014.00","1,014.00",990.00,992.00,-1.19,904.00,"898,149.30"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,2,2025-11-18,982.00,"1,010.00",982.00,"1,003.90",0.69,"1,142.00","1,137,327.70"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,3,2025-11-17,981.00,999.90,981.00,997.00,0.97,641.00,"635,267.90"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,4,2025-11-16,986.70,"1,014.00",986.10,987.40,-1.75,366.00,"364,536.30"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,5,2025-11-13,980.00,"1,005.00",980.00,"1,005.00",0.80,"2,290.00","2,271,483.60"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,6,2025-11-12,993.50,"1,013.00",993.50,997.00,-1.00,"1,397.00","1,393,900.50"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,7,2025-11-11,982.00,"1,070.00",982.00,"1,007.10",0.51,"2,551.00","2,577,677.80"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,8,2025-11-10,995.00,"1,008.00",991.00,"1,002.00",0.70,"2,927.00","2,916,482.60"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,9,2025-11-09,"1,002.10","1,008.00",986.00,995.00,-2.64,"2,886.00","2,861,190.40"
kmcdb,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/kmcdb,10,2025-11-06,"1,007.00","1,027.10",995.00,"1,022.00",1.49,"2,897.00","2,938,001.00"
