symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,1,2024-12-24,792.00,834.00,780.00,810.00,4.27,"92,332.00","74,624,663.10"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,2,2024-12-23,762.50,792.50,762.50,776.80,-0.15,"21,582.00","16,726,223.30"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,3,2024-12-22,796.60,796.60,767.50,777.99,-0.39,"22,982.00","17,800,715.98"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,4,2024-12-19,804.00,804.00,768.60,781.00,-1.14,"147,038.00","114,505,731.50"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,5,2024-12-18,795.00,816.00,775.00,790.00,1.30,"45,717.00","36,394,676.80"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,6,2024-12-17,791.70,791.70,746.00,779.90,0.46,"20,910.00","16,272,321.60"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,7,2024-12-16,799.00,815.00,775.00,776.30,-4.40,"56,049.00","44,484,535.70"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,8,2024-12-12,820.00,860.00,806.60,812.00,-1.80,"81,169.00","66,628,940.50"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,9,2024-12-11,817.00,828.00,817.00,826.90,1.21,"50,779.00","41,748,960.30"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,10,2024-12-10,848.00,848.00,808.00,817.00,-1.80,"49,467.00","40,780,520.82"
krbl,Karnali Development Bank Limited,Development Bank,https://www.sharesansar.com/company/krbl,11,2024-12-09,829.30,845.00,819.00,832.00,0.60,"52,980.00","44,108,016.70"
