symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,1,2025-11-19,430.00,431.00,421.00,425.00,-0.98,"21,632.00","9,226,259.90"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,2,2025-11-18,427.00,433.60,427.00,429.20,0.52,"10,711.00","4,609,979.50"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,3,2025-11-17,415.00,427.00,415.00,427.00,1.93,"15,102.00","6,401,346.30"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,4,2025-11-16,415.20,420.00,413.00,418.90,-0.02,"5,960.00","2,482,370.50"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,5,2025-11-13,416.00,426.30,413.10,419.00,0.24,"11,758.00","4,937,191.20"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,6,2025-11-12,417.00,424.00,412.00,418.00,0.00,"7,329.00","3,045,443.10"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,7,2025-11-11,416.70,427.00,415.00,418.00,-0.71,"18,535.00","7,718,958.00"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,8,2025-11-10,420.00,425.00,416.00,421.00,-0.47,"11,650.00","4,897,854.20"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,9,2025-11-09,425.20,430.00,419.00,423.00,-1.58,"31,185.00","13,158,175.50"
ksbbl,Kamana Sewa Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/ksbbl,10,2025-11-06,439.00,442.90,427.00,429.80,-1.20,"19,588.00","8,403,205.30"
