symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,1,2025-09-23,165.70,165.70,165.70,165.70,0.00,"1,702.00","282,021.40"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,2,2025-09-02,165.70,165.70,165.70,165.70,0.00,"40,000.00","4,000,000.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,3,2025-07-22,165.70,165.70,165.70,165.70,-1.95,"44,000.00","7,290,800.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,4,2025-06-16,169.00,169.00,169.00,169.00,-1.74,"1,248.00","210,912.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,5,2025-06-15,172.00,172.00,172.00,172.00,0.00,"22,000.00","2,200,000.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,6,2025-06-10,172.00,172.00,172.00,172.00,-1.99,"1,561.00","268,492.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,7,2025-06-05,175.50,175.50,175.50,175.50,-1.79,"4,499.00","789,574.50"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,8,2025-05-19,178.70,178.70,178.70,178.70,0.00,"11,741.00","1,291,510.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,9,2025-03-23,178.70,178.70,178.70,178.70,0.00,"97,793.00","9,779,300.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,10,2025-02-18,182.30,182.30,178.70,178.70,-1.97,"21,195.00","3,832,006.50"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,11,2025-02-05,182.30,182.30,182.30,182.30,-1.99,"31,852.00","5,806,619.60"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,12,2024-12-22,186.00,186.00,186.00,186.00,-1.59,"6,619.00","1,231,134.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,13,2024-10-29,189.00,189.00,189.00,189.00,0.00,"35,534.00","6,715,926.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,14,2024-09-09,189.00,189.00,189.00,189.00,0.00,"27,663.00","2,904,615.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,15,2024-09-02,189.00,189.00,189.00,189.00,-1.97,"59,088.00","11,167,632.00"
ksbblp,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/ksbblp,16,2024-08-13,192.80,192.80,192.80,192.80,-1.63,"25,000.00","4,820,000.00"
