symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,1,2025-11-20,8.74,8.85,8.74,8.85,-0.67,"1,800.00","15,804.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,2,2025-11-19,8.45,8.91,8.40,8.91,3.97,"12,050.00","102,313.50"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,3,2025-11-18,8.85,8.86,8.57,8.57,-3.49,"15,700.00","137,331.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,4,2025-11-17,8.85,8.88,8.85,8.88,0.23,700.00,"6,205.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,5,2025-11-16,8.85,8.86,8.85,8.86,0.11,300.00,"2,657.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,6,2025-11-13,8.86,8.86,8.85,8.85,-0.11,700.00,"6,196.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,7,2025-11-12,8.86,8.86,8.86,8.86,0.11,800.00,"7,088.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,8,2025-11-11,8.85,8.85,8.85,8.85,-0.11,200.00,"1,770.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,9,2025-11-10,8.84,8.87,8.84,8.86,-1.56,900.00,"7,969.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,10,2025-11-09,8.87,9.00,8.69,9.00,-0.44,700.00,"6,168.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,11,2025-11-06,8.87,9.04,8.87,9.04,1.92,800.00,"7,180.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,12,2025-11-05,8.82,8.87,8.82,8.87,-1.11,400.00,"3,538.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,13,2025-11-04,8.97,8.97,8.97,8.97,-1.97,100.00,897.00
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,14,2025-11-03,8.76,9.15,8.76,9.15,2.46,"3,800.00","34,225.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,15,2025-11-02,8.92,8.93,8.92,8.93,-1.87,700.00,"6,245.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,16,2025-10-30,8.76,9.10,8.76,9.10,1.90,"2,097.00","18,937.70"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,17,2025-10-29,8.70,8.93,8.70,8.93,1.94,803.00,"7,099.79"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,18,2025-10-28,8.88,8.88,8.75,8.76,0.57,"1,500.00","13,257.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,19,2025-10-26,8.88,8.88,8.71,8.71,-3.86,200.00,"1,759.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,20,2025-10-19,9.06,9.06,9.06,9.06,1.68,500.00,"4,530.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,21,2025-10-16,8.91,8.91,8.91,8.91,0.00,200.00,"1,782.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,22,2025-10-15,8.92,8.92,8.91,8.91,-0.22,"5,550.00","49,501.50"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,23,2025-10-14,8.91,8.93,8.91,8.93,0.22,700.00,"6,247.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,24,2025-10-13,8.92,8.92,8.74,8.91,-1.00,380.00,"3,373.20"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,25,2025-10-12,8.91,9.01,8.91,9.00,0.67,"1,500.00","13,463.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,26,2025-10-09,8.91,9.11,8.91,8.94,0.00,"1,400.00","12,610.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,27,2025-10-08,9.09,9.09,8.93,8.94,0.22,"1,600.00","14,453.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,28,2025-10-07,9.07,9.07,8.90,8.92,0.22,"1,750.00","15,775.50"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,29,2025-09-28,8.79,8.90,8.79,8.90,-0.56,400.00,"3,529.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,30,2025-09-25,8.95,9.00,8.95,8.95,0.00,"2,010.00","18,054.50"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,31,2025-09-24,8.92,8.95,8.92,8.95,-0.56,"1,360.00","12,154.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,32,2025-09-23,8.82,9.18,8.75,9.00,0.00,"2,000.00","17,977.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,33,2025-09-21,9.10,9.10,9.00,9.00,0.00,"1,400.00","12,660.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,34,2025-09-08,8.83,9.00,8.83,9.00,0.56,900.00,"8,047.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,35,2025-09-07,8.80,9.02,8.80,8.95,1.13,"2,600.00","23,356.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,36,2025-09-04,8.66,8.99,8.66,8.85,0.23,"5,160.00","45,653.50"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,37,2025-09-03,8.77,8.94,8.77,8.83,-1.23,"1,800.00","15,908.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,38,2025-09-02,9.30,9.39,8.94,8.94,-4.79,"2,040.00","18,801.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,39,2025-09-01,9.21,9.39,9.03,9.39,0.00,"3,710.00","34,176.30"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,40,2025-08-28,9.30,9.39,9.30,9.39,0.00,"1,690.00","15,815.10"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,41,2025-08-27,9.30,9.39,9.30,9.39,1.95,"1,000.00","9,381.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,42,2025-08-26,9.37,9.37,9.20,9.21,-3.66,470.00,"4,342.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,43,2025-08-25,9.56,9.56,9.56,9.56,-1.95,100.00,956.00
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,44,2025-08-24,9.66,9.80,9.66,9.75,0.41,"22,100.00","215,614.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,45,2025-08-21,9.70,9.71,9.70,9.71,-0.10,"1,000.00","9,701.00"
ksy,Kumari Sabal Yojana,Mutual Fund,https://www.sharesansar.com/company/ksy,46,2025-08-20,9.65,9.72,9.65,9.72,-0.92,"2,100.00","20,378.00"
