symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,1,2025-11-19,465.00,465.00,448.00,453.00,-1.29,"66,021.00","29,770,302.10"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,2,2025-11-18,453.20,469.50,452.10,458.90,1.96,"114,944.00","52,995,488.30"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,3,2025-11-17,444.00,461.00,444.00,450.10,0.92,"94,864.00","43,008,520.30"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,4,2025-11-16,459.50,459.50,442.00,446.00,-1.33,"58,391.00","26,072,141.60"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,5,2025-11-13,438.40,460.00,438.40,452.00,1.05,"65,070.00","29,486,098.10"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,6,2025-11-12,455.00,455.00,446.00,447.30,-0.69,"34,233.00","15,380,081.20"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,7,2025-11-11,454.50,459.90,441.00,450.40,-0.99,"98,331.00","44,122,578.10"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,8,2025-11-10,465.00,470.00,449.10,454.90,-1.96,"97,245.00","44,433,309.60"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,9,2025-11-09,477.10,477.10,460.00,464.00,-4.68,"196,579.00","91,758,880.30"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,10,2025-11-06,504.90,504.90,482.00,486.80,-1.66,"93,474.00","46,124,982.70"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,11,2025-11-05,478.30,495.70,476.50,495.00,2.68,"99,267.00","48,361,835.30"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,12,2025-11-04,492.20,500.00,481.40,482.10,-2.21,"76,167.00","37,305,664.70"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,13,2025-11-03,498.00,509.00,489.00,493.00,-0.82,"143,701.00","71,195,740.30"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,14,2025-11-02,503.00,518.00,497.10,497.10,-1.37,"236,260.00","120,201,426.30"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,15,2025-10-30,479.00,505.00,472.00,504.00,5.22,"178,373.00","88,199,030.80"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,16,2025-10-29,492.00,505.00,473.00,479.00,-2.44,"281,839.00","139,331,437.00"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,17,2025-10-28,452.00,492.00,452.00,491.00,9.35,"186,814.00","89,419,454.80"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,18,2025-10-26,433.00,449.00,433.00,449.00,1.63,"38,357.00","16,962,863.20"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,19,2025-10-19,440.00,448.00,435.50,441.80,-0.47,"35,757.00","15,803,404.80"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,20,2025-10-16,455.00,455.00,435.00,443.90,-1.14,"72,905.00","32,018,046.20"
lbbl,Lumbini Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/lbbl,21,2025-10-15,447.00,453.00,436.00,449.00,-1.10,"71,917.00","31,913,701.10"
