symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,1,2025-11-19,"1,129.10","1,129.10","1,129.10","1,129.10",2.00,200.00,"225,820.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,2,2025-10-12,"1,107.00","1,107.00","1,107.00","1,107.00",0.82,25.00,"27,675.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,3,2025-09-25,"1,142.40","1,142.40","1,142.40","1,098.00",-3.89,2.00,"2,218.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,4,2025-09-21,"1,120.00","1,120.00","1,120.00","1,142.40",2.00,5.00,"5,712.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,5,2025-09-08,"1,120.00","1,120.00","1,120.00","1,120.00",1.82,25.00,"28,000.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,6,2025-08-04,"1,100.00","1,100.00","1,100.00","1,100.00",-1.79,20.00,"22,000.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,7,2025-07-24,"1,120.00","1,120.00","1,120.00","1,120.00",-1.75,50.00,"56,000.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,8,2025-07-16,"1,122.00","1,130.00","1,122.00","1,140.00",1.79,170.00,"192,011.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,9,2025-07-15,"1,120.00","1,120.00","1,120.00","1,120.00",-0.04,50.00,"56,000.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,10,2025-07-14,"1,110.69","1,128.80","1,110.69","1,120.48",2.89,45.00,"50,421.80"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,11,2025-07-09,"1,105.40","1,105.40","1,105.40","1,089.00",-1.48,4.00,"4,356.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,12,2025-07-06,"1,105.40","1,105.40","1,105.40","1,105.40",-1.90,40.00,"44,216.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,13,2025-06-11,"1,104.80","1,104.80","1,104.80","1,126.80",1.99,1.00,"1,126.80"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,14,2025-06-03,"1,104.90","1,104.90","1,104.80","1,104.80",-0.20,50.00,"55,242.50"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,15,2025-05-21,"1,106.70","1,106.70","1,106.70","1,107.00",0.03,4.00,"4,428.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,16,2025-05-18,"1,106.70","1,106.70","1,106.70","1,106.70",-1.63,25.00,"27,667.50"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,17,2025-04-27,"1,125.00","1,125.00","1,125.00","1,125.00",1.99,50.00,"56,250.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,18,2025-04-13,"1,087.00","1,087.00","1,087.00","1,103.00",1.47,1.00,"1,103.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,19,2025-04-08,"1,085.00","1,085.00","1,085.00","1,087.00",0.18,1.00,"1,087.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,20,2025-04-01,"1,077.40","1,077.40","1,077.40","1,085.00",0.71,2.00,"2,170.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,21,2025-03-25,"1,076.70","1,076.70","1,076.70","1,077.40",0.07,2.00,"2,154.80"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,22,2025-03-24,"1,079.60","1,079.60","1,079.60","1,076.70",-0.27,1.00,"1,076.70"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,23,2025-03-23,"1,090.00","1,090.00","1,090.00","1,079.60",-0.95,1.00,"1,079.60"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,24,2025-03-20,"1,090.00","1,090.00","1,090.00","1,090.00",-1.15,50.00,"54,500.00"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,25,2025-03-17,"1,102.70","1,102.70","1,102.70","1,102.70",2.05,3.00,"3,286.50"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,26,2025-03-12,"1,080.60","1,080.60","1,080.60","1,080.60",0.06,92.00,"99,415.20"
lbld86,10% Laxmi Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/lbld86,27,2025-03-10,"1,080.10","1,080.10","1,080.00","1,080.00",0.45,75.00,"81,005.00"
