symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,1,2025-11-19,199.00,199.00,192.00,193.00,-1.53,"47,929.00","9,299,892.60"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,2,2025-11-18,194.90,198.00,194.90,196.00,1.08,"62,776.00","12,320,377.90"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,3,2025-11-17,193.00,195.00,192.00,193.90,0.78,"22,686.00","4,401,319.10"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,4,2025-11-16,192.20,195.90,192.10,192.40,-0.82,"33,534.00","6,483,101.40"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,5,2025-11-13,190.00,197.30,190.00,194.00,0.26,"46,391.00","9,031,625.10"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,6,2025-11-12,200.30,200.30,193.50,193.50,-1.48,"41,022.00","8,004,821.20"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,7,2025-11-11,198.00,200.00,196.00,196.40,0.15,"36,108.00","7,128,845.80"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,8,2025-11-10,199.00,200.50,196.00,196.10,-0.91,"63,507.00","12,555,095.70"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,9,2025-11-09,199.00,202.10,196.60,197.90,-1.10,"51,400.00","10,212,265.80"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,10,2025-11-06,202.00,203.60,197.60,200.10,-0.05,"54,202.00","10,896,687.30"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,11,2025-11-05,198.10,202.00,196.50,200.20,-0.35,"67,654.00","13,451,218.70"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,12,2025-11-04,204.00,207.00,200.00,200.90,-1.52,"86,236.00","17,437,707.30"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,13,2025-11-03,207.00,212.00,202.00,204.00,-2.72,"100,468.00","20,671,149.00"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,14,2025-11-02,203.00,212.00,200.00,209.70,3.35,"126,770.00","26,349,926.40"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,15,2025-10-30,202.00,203.00,196.10,202.90,1.96,"104,740.00","20,991,444.00"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,16,2025-10-29,201.50,205.00,197.00,199.00,0.20,"106,777.00","21,477,640.10"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,17,2025-10-28,187.40,199.90,185.00,198.60,6.83,"96,801.00","18,776,608.60"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,18,2025-10-26,190.00,190.00,180.00,185.90,-1.38,"50,327.00","9,242,537.40"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,19,2025-10-19,194.90,195.00,188.00,188.50,-1.82,"47,083.00","8,960,065.40"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,20,2025-10-16,192.80,196.60,186.00,192.00,1.05,"111,734.00","21,120,470.30"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,21,2025-10-15,191.00,198.00,190.00,190.00,-1.55,"66,739.00","12,820,746.00"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,22,2025-10-14,199.10,200.10,192.20,193.00,-3.02,"78,382.00","15,278,595.80"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,23,2025-10-13,196.00,199.60,192.20,199.00,1.53,"78,820.00","15,412,470.00"
lec,Liberty Energy Company Limited,Hydropower,https://www.sharesansar.com/company/lec,24,2025-10-12,200.10,200.10,195.00,196.00,-3.11,"145,484.00","28,547,983.70"
