symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,1,2024-06-09,9.60,9.76,9.47,9.47,-3.27,"205,516.00","1,953,547.52"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,2,2024-06-06,9.70,9.79,9.51,9.79,-0.10,"173,150.00","1,663,642.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,3,2024-06-05,9.83,9.83,9.80,9.80,0.31,"15,700.00","154,031.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,4,2024-06-04,9.59,9.77,9.59,9.77,0.72,"60,100.00","584,260.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,5,2024-06-03,9.70,9.70,9.70,9.70,-1.92,"9,500.00","92,150.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,6,2024-06-02,9.89,9.90,9.71,9.89,1.85,"4,689.00","46,359.10"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,7,2024-05-30,9.71,9.71,9.53,9.71,0.21,"14,570.00","140,384.90"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,8,2024-05-27,9.50,9.69,9.50,9.69,0.10,"13,500.00","130,720.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,9,2024-05-26,9.51,9.68,9.50,9.68,0.31,"36,913.00","355,530.65"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,10,2024-05-22,9.63,9.65,9.63,9.65,0.42,"40,404.00","389,175.30"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,11,2024-05-21,9.55,9.67,9.54,9.61,-0.93,"20,184.00","192,861.40"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,12,2024-05-20,9.62,9.70,9.62,9.70,0.41,"36,900.00","357,426.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,13,2024-05-19,9.60,9.66,9.60,9.66,1.68,"106,900.00","1,029,585.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,14,2024-05-16,9.50,9.69,9.50,9.50,-1.96,"20,100.00","190,969.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,15,2024-05-14,9.49,9.69,9.42,9.69,3.53,"294,985.00","2,857,397.50"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,16,2024-05-13,9.35,9.36,9.35,9.36,0.00,"5,900.00","55,199.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,17,2024-05-09,9.40,9.40,9.35,9.36,-0.32,"16,767.00","156,904.12"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,18,2024-05-07,9.36,9.40,9.36,9.39,-1.68,"35,000.00","328,600.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,19,2024-05-06,9.55,9.55,9.55,9.55,1.49,520.00,"4,966.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,20,2024-05-05,9.42,9.42,9.30,9.41,-0.74,"39,450.00","370,036.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,21,2024-05-02,9.46,9.48,9.46,9.48,-1.25,"3,000.00","28,430.00"
lemf,Laxmi Equity Fund,Mutual Fund,https://www.sharesansar.com/company/lemf,22,2024-04-30,9.60,9.60,9.60,9.60,0.00,"6,527.00","62,659.20"
