symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,1,2025-11-19,851.00,863.70,840.30,846.00,-0.59,"3,922.00","3,327,740.90"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,2,2025-11-18,865.00,865.00,851.00,851.00,-0.35,"6,621.00","5,668,239.20"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,3,2025-11-17,857.90,860.00,845.20,854.00,0.48,"10,308.00","8,811,491.30"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,4,2025-11-16,859.00,859.00,845.00,849.90,0.46,"7,049.00","5,989,293.50"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,5,2025-11-13,843.80,859.00,842.00,846.00,-0.47,"19,043.00","16,147,996.60"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,6,2025-11-12,868.00,868.00,844.10,850.00,-0.58,"17,086.00","14,547,036.00"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,7,2025-11-11,840.20,856.80,837.90,855.00,1.76,"16,069.00","13,644,208.20"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,8,2025-11-10,848.00,861.00,837.90,840.20,-0.92,"7,799.00","6,574,652.40"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,9,2025-11-09,882.70,882.70,847.00,848.00,-2.53,"11,282.00","9,617,628.30"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,10,2025-11-06,882.00,883.30,865.00,870.00,0.46,"21,623.00","18,841,926.70"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,11,2025-11-05,859.00,868.00,847.10,866.00,0.81,"5,662.00","4,844,117.20"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,12,2025-11-04,879.00,879.00,851.00,859.00,-1.83,"9,538.00","8,189,695.60"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,13,2025-11-03,874.00,888.00,858.00,875.00,0.11,"20,212.00","17,603,957.90"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,14,2025-11-02,840.00,877.00,830.00,874.00,5.05,"32,953.00","28,345,870.00"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,15,2025-10-30,820.00,845.00,820.00,832.00,1.46,"11,313.00","9,414,251.20"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,16,2025-10-29,840.00,844.00,820.00,820.00,-1.56,"5,322.00","4,413,253.60"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,17,2025-10-28,820.00,835.80,813.60,833.00,2.73,"8,604.00","7,124,889.90"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,18,2025-10-26,793.00,814.90,790.00,810.90,1.49,"5,138.00","4,105,917.60"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,19,2025-10-19,792.00,800.00,788.00,799.00,0.50,"4,244.00","3,369,733.90"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,20,2025-10-16,814.00,814.00,786.00,795.00,-0.75,"7,038.00","5,582,405.00"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,21,2025-10-15,810.00,810.00,793.80,801.00,-1.11,"6,529.00","5,225,743.70"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,22,2025-10-14,801.30,842.00,800.00,810.00,0.00,"4,956.00","4,024,326.40"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,23,2025-10-13,836.00,836.00,803.00,810.00,-1.22,"9,129.00","7,379,535.50"
licn,Life Insurance Corporation Nepal Limited,Life Insurance,https://www.sharesansar.com/company/licn,24,2025-10-12,818.00,827.00,802.30,820.00,-0.64,"15,134.00","12,256,275.00"
