symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,1,2025-11-19,228.50,230.50,227.00,230.50,0.92,"153,771.00","35,157,572.80"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,2,2025-11-18,227.00,228.80,225.00,228.40,1.24,"182,877.00","41,640,011.50"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,3,2025-11-17,227.40,227.60,224.10,225.60,1.17,"434,166.00","98,085,884.90"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,4,2025-11-16,220.00,223.30,216.10,223.00,1.36,"67,805.00","14,919,390.60"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,5,2025-11-13,213.50,221.90,213.50,220.00,1.01,"58,617.00","12,760,988.10"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,6,2025-11-12,215.70,220.00,215.70,217.80,-0.09,"29,363.00","6,396,611.50"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,7,2025-11-11,221.00,221.00,216.50,218.00,-0.27,"102,253.00","22,222,859.10"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,8,2025-11-10,225.10,225.10,217.80,218.60,-0.95,"102,853.00","22,547,077.10"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,9,2025-11-09,226.90,226.90,220.60,220.70,-2.99,"135,961.00","30,260,988.40"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,10,2025-11-06,223.40,228.70,223.40,227.50,0.40,"76,315.00","17,359,142.50"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,11,2025-11-05,221.70,226.60,221.00,226.60,1.16,"122,226.00","27,384,159.40"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,12,2025-11-04,226.00,226.00,221.30,224.00,0.63,"52,825.00","11,787,472.90"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,13,2025-11-03,227.00,227.00,222.00,222.60,-0.67,"58,649.00","13,153,905.80"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,14,2025-11-02,228.30,228.30,221.00,224.10,0.09,"68,539.00","15,368,597.90"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,15,2025-10-30,218.00,225.00,218.00,223.90,0.86,"65,435.00","14,569,441.70"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,16,2025-10-29,223.90,224.00,220.00,222.00,0.09,"92,365.00","20,460,977.40"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,17,2025-10-28,217.50,222.00,216.70,221.80,2.97,"70,704.00","15,523,421.00"
lsl,Laxmi Sunrise Bank Limited,Commercial Bank,https://www.sharesansar.com/company/lsl,18,2025-10-26,215.00,219.30,214.90,215.40,-1.64,"67,880.00","14,655,878.10"
