symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,1,2025-11-18,111.00,111.00,111.00,111.00,0.00,"6,526.00","724,386.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,2,2025-11-09,120.60,120.60,111.00,111.00,-9.76,"33,333.00","3,700,454.60"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,3,2025-08-14,100.00,100.00,100.00,100.00,0.00,"90,024.00","9,002,400.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,4,2025-08-13,100.00,100.00,100.00,100.00,0.00,"117,878.00","11,787,800.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,5,2025-07-27,100.00,101.00,100.00,100.00,0.00,"2,120,912.00","212,091,350.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,6,2025-07-16,100.00,100.00,100.00,100.00,0.00,"55,945.00","5,594,500.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,7,2025-07-13,100.00,100.00,100.00,100.00,0.00,"187,557.00","18,755,700.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,8,2025-07-08,100.00,100.00,100.00,100.00,0.00,"2,432,083.00","243,208,300.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,9,2025-07-06,100.00,100.00,100.00,100.00,0.00,"3,781,058.00","378,105,800.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,10,2025-07-03,100.00,100.00,100.00,100.00,0.00,"1,417,836.00","141,783,600.00"
lslpo,Laxmi Sunrise Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/lslpo,11,2025-07-02,101.00,101.00,100.00,100.00,-2.91,"2,967,707.00","296,771,700.00"
