symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,1,2025-11-19,9.04,9.04,9.04,9.04,-1.74,100.00,904.00
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,2,2025-11-18,9.14,9.20,9.14,9.20,0.66,600.00,"5,503.00"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,3,2025-11-17,9.12,9.14,9.12,9.14,0.22,450.00,"4,108.00"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,4,2025-11-16,9.25,9.25,9.12,9.12,-1.94,"26,205.00","241,269.60"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,5,2025-11-13,9.16,9.30,8.97,9.30,1.64,"6,900.00","62,996.00"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,6,2025-11-12,9.15,9.15,9.15,9.15,-0.87,"1,600.00","14,640.00"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,7,2025-11-11,9.22,9.25,9.22,9.23,-1.60,"33,700.00","311,060.00"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,8,2025-11-10,9.38,9.38,9.38,9.38,1.96,600.00,"5,628.00"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,9,2025-11-09,9.30,9.30,9.20,9.20,-1.81,"1,200.00","11,090.00"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,10,2025-11-06,9.05,9.37,9.05,9.37,1.96,"10,900.00","100,513.00"
luk,Laxmi Unnati Kosh,Mutual Fund,https://www.sharesansar.com/company/luk,11,2025-11-05,9.13,9.19,9.13,9.19,-0.33,"1,300.00","11,917.00"
