symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,1,2025-11-20,9.07,9.07,9.07,9.07,-1.84,200.00,"1,814.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,2,2025-11-19,9.00,9.25,9.00,9.24,1.54,"3,100.00","28,396.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,3,2025-11-18,8.99,9.14,8.87,9.10,1.22,"4,730.00","42,876.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,4,2025-11-17,8.81,8.99,8.81,8.99,0.45,"1,500.00","13,435.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,5,2025-11-16,8.90,9.00,8.85,8.95,1.02,"6,538.00","58,205.30"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,6,2025-11-13,8.85,8.99,8.85,8.86,0.45,"8,200.00","72,810.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,7,2025-11-12,8.76,8.82,8.76,8.82,-0.45,"1,500.00","13,207.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,8,2025-11-11,9.02,9.03,8.84,8.86,-3.70,"15,400.00","136,569.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,9,2025-11-10,9.20,9.30,9.20,9.20,-1.71,"4,300.00","39,580.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,10,2025-11-09,9.36,9.36,9.36,9.36,1.96,100.00,936.00
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,11,2025-11-06,9.00,9.18,9.00,9.18,2.00,500.00,"4,522.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,12,2025-11-05,9.00,9.12,9.00,9.00,-1.32,"1,100.00","9,936.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,13,2025-11-04,9.30,9.30,9.12,9.12,-1.94,650.00,"6,000.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,14,2025-11-03,9.30,9.40,9.30,9.30,0.00,"23,500.00","220,835.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,15,2025-11-02,9.25,9.40,9.25,9.30,0.54,"4,350.00","40,765.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,16,2025-10-30,9.25,9.32,9.25,9.25,0.54,"13,000.00","120,411.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,17,2025-10-29,9.15,9.25,9.15,9.20,0.11,700.00,"6,460.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,18,2025-10-28,9.01,9.19,9.01,9.19,2.00,"1,200.00","11,010.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,19,2025-10-26,9.01,9.01,9.00,9.01,0.11,"6,240.00","56,166.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,20,2025-10-19,9.00,9.00,9.00,9.00,-1.10,200.00,"1,800.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,21,2025-10-16,9.20,9.21,9.10,9.10,0.78,"34,500.00","317,238.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,22,2025-10-15,9.02,9.19,9.02,9.03,-0.77,"7,900.00","72,299.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,23,2025-10-14,9.02,9.10,9.02,9.10,-0.22,"1,900.00","17,146.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,24,2025-10-13,9.02,9.12,9.00,9.12,0.00,"8,300.00","74,879.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,25,2025-10-12,9.11,9.15,9.11,9.12,0.22,"4,215.00","38,516.25"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,26,2025-10-09,9.02,9.29,9.02,9.10,-1.09,"7,300.00","66,443.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,27,2025-10-08,9.30,9.30,9.20,9.20,-1.92,"12,565.00","115,623.50"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,28,2025-10-07,9.40,9.40,9.07,9.38,1.41,"3,275.00","30,400.25"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,29,2025-09-28,9.15,9.25,9.10,9.25,0.11,"1,700.00","15,595.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,30,2025-09-25,9.00,9.24,9.00,9.24,2.67,"2,700.00","24,720.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,31,2025-09-24,8.99,9.02,8.99,9.00,-0.22,850.00,"7,653.00"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,32,2025-09-23,9.16,9.16,8.98,9.02,-3.32,"1,030.00","9,317.80"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,33,2025-09-21,9.00,9.36,9.00,9.33,3.67,"1,420.00","13,080.20"
lvf2,Laxmi Value Fund-II,Mutual Fund,https://www.sharesansar.com/company/lvf2,34,2025-09-18,9.00,9.00,9.00,9.00,-1.32,"7,000.00","63,000.00"
