symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,1,2025-11-19,953.00,960.00,940.30,940.30,-2.37,978.00,"926,935.10"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,2,2025-11-18,946.00,970.00,946.00,963.10,-0.20,733.00,"705,525.70"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,3,2025-11-17,950.00,965.00,935.10,965.00,1.33,463.00,"443,689.00"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,4,2025-11-16,955.00,969.90,951.10,952.30,-1.82,694.00,"662,411.90"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,5,2025-11-13,975.00,975.00,970.00,970.00,-1.55,303.00,"293,986.60"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,6,2025-11-12,980.00,998.90,965.50,985.30,1.79,697.00,"687,445.30"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,7,2025-11-11,960.10,975.00,960.00,968.00,-0.72,377.00,"364,641.90"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,8,2025-11-10,"1,000.90","1,001.00",975.00,975.00,-1.12,517.00,"512,387.10"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,9,2025-11-09,966.50,986.00,966.50,986.00,0.16,366.00,"356,322.60"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,10,2025-11-06,965.10,984.40,965.00,984.40,0.05,866.00,"839,261.30"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,11,2025-11-05,965.00,984.00,963.00,983.90,0.38,218.00,"211,976.90"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,12,2025-11-04,981.10,987.10,980.20,980.20,-1.98,963.00,"948,890.90"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,13,2025-11-03,"1,000.00","1,020.00",996.00,"1,000.00",-1.19,596.00,"600,170.00"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,14,2025-11-02,"1,016.90","1,027.00","1,012.00","1,012.00",1.30,"1,441.00","1,467,362.40"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,15,2025-10-30,980.00,"1,007.00",961.00,999.00,0.40,"1,089.00","1,073,147.60"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,16,2025-10-29,994.50,"1,000.00",979.10,995.00,2.05,"2,151.00","2,119,629.60"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,17,2025-10-28,972.00,"1,003.80",970.00,975.00,-0.94,698.00,"687,844.00"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,18,2025-10-26,965.00,984.30,950.00,984.30,2.00,791.00,"758,701.90"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,19,2025-10-19,956.10,975.20,956.10,965.00,-1.03,483.00,"467,853.60"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,20,2025-10-16,990.00,"1,003.00",975.00,975.00,-1.52,865.00,"849,008.30"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,21,2025-10-15,976.90,"1,018.50",976.90,990.00,3.13,782.00,"774,698.40"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,22,2025-10-14,972.50,989.00,954.00,960.00,0.68,401.00,"389,546.00"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,23,2025-10-13,965.00,969.00,950.00,953.50,0.37,803.00,"766,024.60"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,24,2025-10-12,961.00,969.00,950.00,950.00,-3.06,"1,779.00","1,702,481.50"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,25,2025-10-09,994.30,"1,018.00",980.00,980.00,0.52,591.00,"588,954.60"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,26,2025-10-08,"1,015.00","1,015.00",967.00,974.90,-2.97,"1,279.00","1,248,013.00"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,27,2025-10-07,985.00,"1,004.70",980.00,"1,004.70",-0.03,791.00,"782,257.50"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,28,2025-09-28,"1,015.90","1,015.90",996.00,"1,005.00",0.90,690.00,"693,155.50"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,29,2025-09-25,995.10,"1,009.00",995.10,996.00,-1.78,764.00,"764,327.20"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,30,2025-09-24,975.00,"1,024.40",975.00,"1,014.00",2.94,"1,191.00","1,200,601.50"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,31,2025-09-23,"1,003.00","1,018.90",985.00,985.00,0.12,"2,031.00","2,026,168.90"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,32,2025-09-21,971.00,"1,005.00",960.00,983.80,1.32,"2,361.00","2,314,382.70"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,33,2025-09-18,977.00,990.00,970.20,971.00,-2.54,603.00,"586,212.20"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,34,2025-09-08,996.00,"1,000.00",996.00,996.32,-0.57,"1,100.00","1,096,239.20"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,35,2025-09-07,"1,000.00","1,014.00",998.00,"1,002.00",0.03,410.00,"411,436.00"
matri,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/matri,36,2025-09-04,"1,022.00","1,022.00",990.00,"1,001.70",-0.07,950.00,"947,783.50"
