symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,1,2025-11-18,"1,108.00","1,108.00","1,108.00","1,108.00",-1.95,50.00,"55,400.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,2,2025-11-10,"1,130.00","1,130.00","1,130.00","1,130.00",0.00,50.00,"56,500.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,3,2025-11-05,"1,116.90","1,130.00","1,116.90","1,130.00",3.20,75.00,"84,095.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,4,2025-11-04,"1,095.00","1,095.00","1,095.00","1,095.00",-1.97,25.00,"27,375.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,5,2025-11-03,"1,117.00","1,117.00","1,117.00","1,117.00",-1.95,25.00,"27,925.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,6,2025-10-19,"1,095.00","1,141.00","1,095.00","1,139.20",4.04,150.00,"171,079.10"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,7,2025-10-13,"1,095.00","1,095.00","1,095.00","1,095.00",1.96,50.00,"54,750.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,8,2025-10-12,"1,111.00","1,111.00","1,074.00","1,074.00",-5.12,100.00,"108,727.50"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,9,2025-09-07,"1,132.00","1,132.00","1,132.00","1,132.00",1.98,369.00,"417,708.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,10,2025-09-01,"1,110.00","1,110.00","1,110.00","1,110.00",-0.18,30.00,"33,300.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,11,2025-08-31,"1,087.00","1,112.00","1,087.00","1,112.00",3.93,339.00,"372,009.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,12,2025-07-24,"1,070.00","1,070.00","1,070.00","1,070.00",1.42,10.00,"10,700.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,13,2025-07-22,"1,055.00","1,055.00","1,055.00","1,055.00",0.48,193.00,"203,615.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,14,2025-07-17,"1,050.00","1,050.00","1,050.00","1,050.00",0.38,100.00,"105,000.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,15,2025-07-15,"1,046.20","1,046.20","1,046.00","1,046.00",0.00,492.00,"514,654.50"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,16,2025-07-14,"1,043.10","1,050.00","1,041.20","1,045.98",-1.34,308.00,"322,163.50"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,17,2025-07-09,"1,039.50","1,039.50","1,039.50","1,060.20",1.99,2.00,"2,120.40"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,18,2025-07-07,"1,039.50","1,039.50","1,039.50","1,039.50",-1.93,25.00,"25,987.50"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,19,2025-07-06,"1,060.00","1,060.00","1,060.00","1,060.00",-1.67,25.00,"26,500.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,20,2025-06-29,"1,078.00","1,078.00","1,078.00","1,078.00",1.14,95.00,"102,410.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,21,2025-06-25,"1,045.00","1,065.90","1,045.00","1,065.90",2.00,95.00,"101,260.50"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,22,2025-06-17,"1,045.00","1,045.00","1,045.00","1,045.00",0.45,25.00,"26,125.00"
mbld87,8.5% Machhapuchchhre Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/mbld87,23,2025-06-10,"1,038.70","1,040.30","1,038.70","1,040.30",-0.92,50.00,"51,975.00"
