symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,1,2025-04-13,100.00,100.00,100.00,100.00,0.00,"55,000.00","5,775,000.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,2,2025-03-12,100.00,100.00,100.00,100.00,0.00,"8,136,521.00","813,652,100.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,3,2025-01-28,100.00,100.00,100.00,100.00,0.00,"300,258.00","30,025,800.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,4,2025-01-13,102.00,102.00,100.00,100.00,-1.96,"849,833.00","86,569,132.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,5,2025-01-12,102.00,102.00,102.00,102.00,-9.73,"207,084.00","21,122,568.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,6,2024-05-21,113.00,113.00,113.00,113.00,0.00,"59,656.00","6,741,128.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,7,2024-03-21,113.00,113.00,113.00,113.00,0.00,"10,737,000.00","1,213,281,000.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,8,2024-02-15,131.00,131.00,131.00,131.00,-1.87,"61,665.00","8,078,115.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,9,2024-02-08,133.50,133.50,133.50,133.50,-1.84,500.00,"66,750.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,10,2023-05-10,136.00,136.00,136.00,136.00,0.00,"83,532.00","9,188,520.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,11,2022-07-26,136.00,136.00,136.00,136.00,0.00,"164,131.00","22,321,816.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,12,2022-04-24,151.00,151.00,151.00,151.00,0.00,"5,451.00","823,101.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,13,2021-08-01,250.00,250.00,250.00,250.00,0.00,"288,726.00","72,181,500.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,14,2021-04-21,250.00,250.00,250.00,250.00,0.00,"2,561.00","640,250.00"
mblpo,Machhapuchchhre Bank Limited Promotor Share,Promoter Share,https://www.sharesansar.com/company/mblpo,15,2021-02-18,120.00,120.00,120.00,120.00,0.00,"20,000.00","2,400,000.00"
