symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,1,2025-11-19,479.00,479.00,470.00,473.00,-0.25,"2,830.00","1,333,218.80"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,2,2025-11-18,471.40,499.00,470.20,474.20,0.59,"1,436.00","687,354.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,3,2025-11-17,470.00,480.00,470.00,471.40,-0.76,710.00,"334,884.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,4,2025-11-16,475.00,480.00,475.00,475.00,0.00,"3,037.00","1,443,801.40"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,5,2025-11-13,470.00,483.90,470.00,475.00,-0.86,"2,110.00","1,012,727.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,6,2025-11-12,480.00,489.00,476.10,479.10,-1.22,733.00,"351,566.30"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,7,2025-11-11,480.00,486.00,478.60,485.00,0.00,"1,876.00","902,248.60"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,8,2025-11-10,480.20,485.00,480.20,485.00,0.41,"1,749.00","843,629.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,9,2025-11-09,485.10,486.00,480.10,483.00,-2.42,750.00,"362,743.60"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,10,2025-11-06,504.00,504.00,486.10,495.00,-0.20,"1,561.00","771,653.10"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,11,2025-11-05,485.00,496.00,480.20,496.00,1.22,"2,185.00","1,058,362.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,12,2025-11-04,502.00,511.00,486.00,490.00,-2.39,"3,284.00","1,633,850.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,13,2025-11-03,498.00,528.00,490.00,502.00,2.76,"5,210.00","2,581,448.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,14,2025-11-02,496.90,511.00,488.20,488.50,0.25,"4,243.00","2,133,121.90"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,15,2025-10-30,481.00,493.20,481.00,487.30,-0.51,"1,640.00","800,450.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,16,2025-10-29,474.40,512.00,465.20,489.80,1.20,"1,211.00","591,502.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,17,2025-10-28,467.80,484.00,460.00,484.00,5.52,"4,600.00","2,152,256.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,18,2025-10-26,470.00,470.00,458.70,458.70,-3.45,852.00,"394,366.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,19,2025-10-19,494.00,494.00,474.10,475.10,-2.04,648.00,"311,032.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,20,2025-10-16,491.60,491.80,475.00,485.00,0.62,"3,360.00","1,625,832.60"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,21,2025-10-15,510.00,510.00,481.40,482.00,-3.60,"1,880.00","916,563.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,22,2025-10-14,502.00,515.00,485.00,500.00,-1.57,"5,319.00","2,659,397.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,23,2025-10-13,495.90,509.80,486.00,508.00,0.40,"3,316.00","1,657,082.80"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,24,2025-10-12,505.00,506.00,490.00,506.00,-1.77,"5,012.00","2,479,129.40"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,25,2025-10-09,514.90,526.00,495.00,515.10,2.02,"4,330.00","2,185,860.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,26,2025-10-08,503.80,505.00,485.60,504.90,-1.77,"4,239.00","2,090,479.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,27,2025-10-07,531.00,538.90,499.80,514.00,-4.64,"1,223.00","614,800.20"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,28,2025-09-28,522.10,539.00,522.10,539.00,1.70,"1,655.00","878,027.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,29,2025-09-25,521.00,531.40,521.00,530.00,-0.17,"2,316.00","1,225,970.20"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,30,2025-09-24,523.00,535.00,513.00,530.90,-0.21,"1,835.00","962,416.80"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,31,2025-09-23,511.90,532.00,511.00,532.00,5.79,"3,466.00","1,816,301.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,32,2025-09-21,450.40,504.00,450.40,502.90,9.45,"10,060.00","4,889,864.40"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,33,2025-09-18,459.50,459.50,459.50,459.50,-1.99,20.00,"9,190.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,34,2025-09-08,472.50,479.00,455.70,468.85,-2.32,"4,500.00","2,113,747.60"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,35,2025-09-07,476.00,485.00,476.00,480.00,-0.46,"4,579.00","2,199,683.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,36,2025-09-04,486.00,490.00,481.00,482.22,-2.04,"3,634.00","1,761,705.10"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,37,2025-09-03,506.00,509.00,492.00,492.27,-2.73,"6,269.00","3,129,757.70"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,38,2025-09-02,509.00,519.00,505.00,506.11,-1.57,"4,011.00","2,042,353.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,39,2025-09-01,517.00,521.00,513.00,514.20,-0.36,"1,251.00","644,080.20"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,40,2025-08-31,514.00,528.90,514.00,516.08,-1.40,"4,058.00","2,111,544.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,41,2025-08-28,524.10,530.50,521.50,523.43,-1.63,"3,960.00","2,081,336.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,42,2025-08-27,518.00,534.00,518.00,532.11,2.07,"3,254.00","1,723,059.10"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,43,2025-08-26,520.00,551.00,516.00,521.32,0.07,"1,330.00","697,759.20"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,44,2025-08-25,520.00,525.00,515.10,520.97,-0.40,"3,340.00","1,737,088.80"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,45,2025-08-24,541.80,541.80,520.50,523.06,-1.54,"4,142.00","2,163,663.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,46,2025-08-21,535.00,535.00,525.00,531.25,-0.19,"2,370.00","1,249,990.80"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,47,2025-08-20,540.00,553.00,530.00,532.24,-2.08,"4,263.00","2,283,335.20"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,48,2025-08-19,536.00,546.70,533.30,543.52,0.86,"3,035.00","1,635,089.70"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,49,2025-08-18,530.00,544.00,525.00,538.86,0.89,"1,973.00","1,059,756.40"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,50,2025-08-17,517.70,550.80,517.70,534.08,3.22,"13,863.00","7,411,017.70"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,51,2025-08-14,536.00,536.00,516.00,517.42,-1.61,"6,325.00","3,291,663.50"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,52,2025-08-13,524.00,529.00,523.70,525.91,-0.38,"1,496.00","786,935.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,53,2025-08-12,522.00,533.00,522.00,527.93,-0.23,"2,204.00","1,167,661.20"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,54,2025-08-11,525.00,536.70,525.00,529.16,-0.90,"4,255.00","2,251,108.00"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,55,2025-08-07,544.70,544.70,533.00,533.98,-0.02,"5,159.00","2,758,516.60"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,56,2025-08-06,540.00,540.00,533.30,534.10,-0.22,"3,456.00","1,847,881.80"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,57,2025-08-05,540.00,549.80,533.10,535.28,-1.00,"6,274.00","3,361,882.90"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,58,2025-08-04,531.00,552.00,531.00,540.70,0.16,"3,342.00","1,804,281.90"
mchl,Menchhiyam Hydropower  Limited,Hydropower,https://www.sharesansar.com/company/mchl,59,2025-08-03,539.00,551.00,537.50,539.81,-1.85,"6,152.00","3,346,994.00"
