symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,1,2025-11-19,570.50,574.90,562.50,564.10,-1.00,"5,336.00","3,022,790.70"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,2,2025-11-18,567.00,583.90,567.00,569.80,1.21,"4,184.00","2,388,376.60"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,3,2025-11-17,560.00,563.90,557.00,563.00,1.17,"2,986.00","1,674,330.50"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,4,2025-11-16,555.00,562.00,555.00,556.50,-0.27,"4,040.00","2,261,392.50"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,5,2025-11-13,555.10,564.30,553.00,558.00,-1.06,"6,730.00","3,769,251.40"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,6,2025-11-12,560.00,565.00,556.00,564.00,0.71,"12,811.00","7,158,855.00"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,7,2025-11-11,560.00,570.00,560.00,560.00,-0.05,"5,143.00","2,885,650.00"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,8,2025-11-10,566.00,570.00,560.20,560.30,-1.01,"5,629.00","3,167,895.00"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,9,2025-11-09,579.00,580.00,565.00,566.00,-4.07,"17,425.00","9,901,762.90"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,10,2025-11-06,595.00,597.00,589.00,590.00,-0.03,"21,344.00","12,634,022.10"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,11,2025-11-05,580.00,592.50,580.00,590.20,1.58,"20,664.00","12,148,966.00"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,12,2025-11-04,590.00,592.00,575.20,581.00,-0.68,"20,197.00","11,770,234.90"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,13,2025-11-03,596.00,602.00,585.00,585.00,-1.85,"22,079.00","13,034,263.30"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,14,2025-11-02,572.00,602.80,570.00,596.00,4.20,"17,004.00","9,994,447.40"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,15,2025-10-30,560.00,576.00,560.00,572.00,2.29,"8,254.00","4,715,170.40"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,16,2025-10-29,570.00,579.00,555.00,559.20,-0.14,"22,806.00","12,953,081.90"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,17,2025-10-28,544.00,560.90,542.00,560.00,4.87,"10,818.00","5,986,119.00"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,18,2025-10-26,535.00,540.00,530.50,534.00,-0.74,"1,461.00","783,376.00"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,19,2025-10-19,545.00,548.00,535.00,538.00,-0.37,"4,366.00","2,370,439.00"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,20,2025-10-16,555.00,555.00,535.00,540.00,-3.74,"34,584.00","18,781,955.10"
mdb,Miteri Development Bank Limited,Development Bank,https://www.sharesansar.com/company/mdb,21,2025-10-15,565.00,569.00,561.00,561.00,-1.23,"14,692.00","8,281,594.90"
