symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,1,2025-08-07,359.00,359.00,359.00,359.00,0.00,"22,000.00","7,898,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,2,2024-11-27,379.00,379.00,379.00,379.00,0.00,"14,000.00","5,306,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,3,2024-07-11,311.00,311.00,311.00,311.00,0.00,"29,162.00","9,069,382.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,4,2024-02-29,217.00,217.00,217.00,217.00,-6.06,"5,000.00","1,085,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,5,2023-09-24,231.00,231.00,231.00,231.00,0.00,"47,325.00","10,932,075.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,6,2023-05-28,196.00,196.00,196.00,196.00,0.00,"23,001.00","4,508,196.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,7,2023-05-21,196.00,196.00,196.00,196.00,0.00,"5,000.00","980,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,8,2022-12-11,167.40,167.40,160.90,160.90,-5.80,"8,289.00","1,344,790.40"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,9,2022-11-30,170.80,170.80,170.80,170.80,-1.95,"3,000.00","512,400.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,10,2022-10-13,177.70,177.70,174.20,174.20,-3.92,"60,000.00","10,557,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,11,2022-08-24,181.30,181.30,181.30,181.30,-2.00,"43,740.00","7,930,062.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,12,2022-07-15,185.00,185.00,185.00,185.00,0.00,"29,158.00","5,394,230.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,13,2022-01-25,274.00,274.00,274.00,274.00,0.00,"8,592.00","2,354,208.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,14,2022-01-20,274.00,274.00,274.00,274.00,0.00,"8,600.00","2,356,400.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,15,2022-01-16,274.00,274.00,274.00,274.00,0.00,"45,130.00","12,365,620.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,16,2021-05-03,182.00,182.00,182.00,182.00,0.00,"5,000.00","910,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,17,2020-09-16,182.00,182.00,182.00,182.00,-1.62,"5,926.00","1,078,532.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,18,2020-07-28,185.00,185.00,185.00,185.00,0.00,"16,165.00","2,990,520.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,19,2020-07-23,185.00,185.00,185.00,185.00,0.00,"6,061.00","1,121,285.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,20,2020-02-05,136.00,136.00,136.00,136.00,0.00,"12,000.00","1,632,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,21,2019-12-11,136.00,136.00,136.00,136.00,0.00,"2,000.00","272,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,22,2019-12-04,136.00,136.00,136.00,136.00,-75.32,"9,440.00","1,283,840.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,23,2016-09-12,551.00,551.00,551.00,551.00,0.00,"2,871.00","1,581,921.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,24,2016-09-07,551.00,551.00,551.00,551.00,0.00,"1,440.00","793,440.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,25,2016-08-21,550.00,551.00,551.00,551.00,0.00,"2,600.00","1,432,600.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,26,2015-11-16,238.00,234.00,234.00,234.00,0.00,"20,880.00","4,885,920.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,27,2015-11-15,242.00,238.00,238.00,238.00,0.00,"21,600.00","5,140,800.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,28,2015-11-10,246.00,242.00,242.00,242.00,0.00,"23,400.00","5,662,800.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,29,2015-08-10,246.00,246.00,246.00,246.00,0.00,"4,000.00","984,000.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,30,2015-07-13,246.00,246.00,246.00,246.00,0.00,"11,520.00","2,833,920.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,31,2014-12-28,232.00,232.00,232.00,232.00,0.00,"3,520.00","816,640.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,32,2014-12-23,232.00,232.00,232.00,232.00,0.00,"2,160.00","501,120.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,33,2014-11-13,240.00,236.00,232.00,232.00,0.00,"15,840.00","3,703,680.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,34,2014-08-07,244.00,240.00,240.00,240.00,0.00,"15,840.00","3,801,600.00"
mdbpo,Miteri Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mdbpo,35,2014-06-29,240.00,244.00,244.00,244.00,0.00,"4,320.00","1,054,080.00"
