symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,1,2025-11-19,280.10,304.00,276.20,304.00,6.37,"106,190.00","31,254,053.40"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,2,2025-11-18,280.00,288.70,280.00,285.80,0.32,"14,639.00","4,163,853.40"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,3,2025-11-17,276.00,286.60,276.00,284.90,1.75,"16,977.00","4,774,902.20"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,4,2025-11-16,282.00,287.00,272.10,280.00,1.08,"24,727.00","6,910,857.90"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,5,2025-11-13,274.20,283.00,274.20,277.00,-0.40,"17,485.00","4,888,665.30"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,6,2025-11-12,269.90,283.50,269.90,278.10,0.98,"48,521.00","13,551,339.30"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,7,2025-11-11,266.20,277.00,264.00,275.40,3.46,"32,756.00","8,929,923.50"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,8,2025-11-10,265.10,274.90,259.80,266.20,-1.59,"12,878.00","3,456,940.70"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,9,2025-11-09,270.00,275.00,268.30,270.50,0.74,"28,691.00","7,829,205.40"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,10,2025-11-06,272.50,279.80,268.50,268.50,-3.07,"25,259.00","6,872,320.10"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,11,2025-11-05,272.00,277.00,271.00,277.00,0.29,"11,864.00","3,232,605.00"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,12,2025-11-04,281.00,284.90,275.40,276.20,-1.71,"6,309.00","1,751,186.70"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,13,2025-11-03,283.00,288.60,278.00,281.00,-2.06,"12,291.00","3,460,498.10"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,14,2025-11-02,274.10,287.00,274.10,286.90,3.61,"28,457.00","8,022,700.80"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,15,2025-10-30,279.90,280.00,271.50,276.90,0.14,"8,247.00","2,282,517.40"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,16,2025-10-29,273.40,283.00,270.00,276.50,-0.79,"37,187.00","10,237,136.30"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,17,2025-10-28,266.90,279.00,265.50,278.70,2.35,"21,948.00","6,062,382.70"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,18,2025-10-26,268.30,272.30,260.00,272.30,-0.51,"6,513.00","1,724,296.80"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,19,2025-10-19,265.00,273.70,263.00,273.70,1.75,"8,478.00","2,256,954.50"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,20,2025-10-16,279.90,280.00,262.00,269.00,-2.39,"15,813.00","4,236,212.80"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,21,2025-10-15,275.00,275.60,270.00,275.60,-1.50,"12,759.00","3,465,504.30"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,22,2025-10-14,277.00,280.00,272.60,279.80,-0.78,"5,397.00","1,488,808.90"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,23,2025-10-13,276.40,282.00,268.00,282.00,0.00,"15,569.00","4,310,847.00"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,24,2025-10-12,284.20,284.30,273.30,282.00,-2.73,"14,904.00","4,148,711.20"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,25,2025-10-09,289.00,305.00,283.30,289.90,2.08,"18,259.00","5,265,563.30"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,26,2025-10-08,287.00,287.00,276.00,284.00,-1.35,"13,471.00","3,766,093.80"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,27,2025-10-07,300.00,303.00,286.00,287.90,-3.39,"8,967.00","2,585,644.50"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,28,2025-09-28,299.80,304.00,288.50,298.00,1.36,"8,391.00","2,480,087.50"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,29,2025-09-25,285.30,306.00,285.30,294.00,1.03,"11,124.00","3,244,249.20"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,30,2025-09-24,290.10,294.00,288.10,291.00,-1.66,"4,646.00","1,345,727.00"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,31,2025-09-23,290.00,296.00,287.00,295.90,2.39,"14,951.00","4,374,957.70"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,32,2025-09-21,275.00,296.50,269.50,289.00,3.02,"20,304.00","5,749,845.50"
mel,Modi Energy Limited,Hydropower,https://www.sharesansar.com/company/mel,33,2025-09-08,280.00,286.00,280.00,280.54,-1.20,"13,930.00","3,920,517.40"
