symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,1,2025-11-19,666.00,666.00,651.00,659.80,1.04,"136,091.00","89,307,100.10"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,2,2025-11-18,652.00,656.00,645.00,653.00,1.56,"204,148.00","133,172,455.00"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,3,2025-11-17,640.00,648.00,637.00,643.00,1.42,"139,488.00","89,719,564.90"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,4,2025-11-16,639.50,644.00,624.00,634.00,1.12,"329,541.00","208,455,068.70"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,5,2025-11-13,629.80,631.00,624.00,627.00,0.32,"130,306.00","81,679,267.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,6,2025-11-12,648.70,648.70,624.00,625.00,-1.73,"104,021.00","65,320,628.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,7,2025-11-11,642.00,642.00,630.00,636.00,0.00,"108,042.00","68,658,298.70"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,8,2025-11-10,645.00,645.00,634.30,636.00,-0.63,"99,948.00","63,744,800.10"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,9,2025-11-09,634.40,659.90,634.40,640.00,2.89,"232,021.00","149,134,482.90"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,10,2025-11-06,622.00,629.00,622.00,622.00,-0.40,"44,830.00","27,993,531.70"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,11,2025-11-05,630.00,630.00,620.50,624.50,-0.06,"31,391.00","19,529,724.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,12,2025-11-04,630.00,638.90,621.00,624.90,-0.21,"52,459.00","32,868,141.60"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,13,2025-11-03,623.30,642.00,623.30,626.20,-1.54,"40,644.00","25,643,130.20"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,14,2025-11-02,638.00,642.00,629.90,636.00,1.23,"76,874.00","48,931,708.30"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,15,2025-10-30,611.00,633.90,606.70,628.30,1.98,"69,322.00","43,422,789.00"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,16,2025-10-29,620.00,631.00,616.00,616.10,-0.29,"47,909.00","29,873,456.80"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,17,2025-10-28,614.00,620.00,601.80,617.90,2.13,"35,174.00","21,620,516.00"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,18,2025-10-26,598.10,605.00,598.00,605.00,-0.80,"14,726.00","8,849,137.10"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,19,2025-10-19,598.00,610.00,598.00,609.90,1.94,"50,418.00","30,451,919.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,20,2025-10-16,600.00,603.00,596.00,598.30,-1.27,"32,749.00","19,604,663.20"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,21,2025-10-15,607.00,607.00,595.00,606.00,-0.03,"55,143.00","33,144,541.00"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,22,2025-10-14,615.80,615.80,605.30,606.20,0.20,"39,213.00","23,847,274.20"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,23,2025-10-13,603.00,614.00,596.00,605.00,0.00,"59,744.00","36,095,330.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,24,2025-10-12,608.00,613.10,601.00,605.00,-2.26,"81,130.00","49,284,799.30"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,25,2025-10-09,628.30,647.00,616.00,619.00,0.49,"86,833.00","54,271,012.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,26,2025-10-08,625.00,625.00,609.00,616.00,-0.81,"67,893.00","41,567,399.80"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,27,2025-10-07,635.00,638.00,619.50,621.00,-1.74,"73,489.00","46,077,846.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,28,2025-09-28,638.00,638.00,625.20,632.00,1.04,"25,748.00","16,208,260.30"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,29,2025-09-25,625.00,628.00,625.00,625.50,0.72,"43,358.00","27,132,951.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,30,2025-09-24,620.00,626.00,619.90,621.00,-0.78,"24,724.00","15,386,762.80"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,31,2025-09-23,616.00,629.90,615.60,625.90,1.26,"60,609.00","37,791,476.70"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,32,2025-09-21,581.00,625.50,581.00,618.14,6.39,"105,202.00","63,804,253.10"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,33,2025-09-18,602.10,602.10,555.50,581.00,-5.43,"7,035.00","4,100,594.20"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,34,2025-09-08,618.00,623.90,606.00,614.37,-0.65,"121,669.00","74,754,752.40"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,35,2025-09-07,615.00,625.10,615.00,618.37,-0.15,"29,947.00","18,600,866.40"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,36,2025-09-04,618.10,625.00,612.40,619.32,0.00,"42,422.00","26,191,456.70"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,37,2025-09-03,620.00,623.00,618.10,619.34,-0.19,"26,523.00","16,445,861.30"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,38,2025-09-02,624.00,627.00,620.00,620.53,-0.60,"26,383.00","16,388,986.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,39,2025-09-01,631.00,631.00,617.30,624.27,0.37,"47,341.00","29,400,797.70"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,40,2025-08-31,637.00,638.00,620.00,621.94,-1.36,"104,647.00","65,460,368.40"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,41,2025-08-28,634.00,644.90,630.10,630.54,-1.11,"55,515.00","35,292,360.60"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,42,2025-08-27,639.00,639.00,629.00,637.61,1.43,"70,465.00","44,778,878.70"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,43,2025-08-26,640.00,640.00,627.00,628.60,-0.27,"28,512.00","17,960,709.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,44,2025-08-25,627.65,635.10,627.00,630.32,0.43,"53,422.00","33,730,410.90"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,45,2025-08-24,630.00,641.00,627.00,627.65,-1.01,"61,401.00","38,687,369.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,46,2025-08-21,644.00,646.90,633.10,634.07,-1.52,"49,680.00","31,636,516.90"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,47,2025-08-20,636.10,650.00,636.00,643.86,0.62,"100,218.00","64,626,338.50"
men,Mountain Energy Nepal Limited,Hydropower,https://www.sharesansar.com/company/men,48,2025-08-19,626.10,645.00,624.70,639.91,2.27,"271,969.00","170,820,063.40"
