symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,1,2023-07-11,227.00,227.00,226.00,226.00,0.00,"23,140.00","5,239,640.00"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,2,2023-02-28,356.00,356.00,356.00,356.00,0.00,"26,400.00","9,398,400.00"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,3,2022-11-06,519.00,519.00,519.00,519.00,0.00,"80,000.00","38,960,000.00"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,4,2022-10-23,535.00,535.00,535.00,535.00,3.08,"1,000.00","535,000.00"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,5,2022-04-20,519.00,519.00,519.00,519.00,0.00,"60,000.00","31,140,000.00"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,6,2022-04-19,519.00,519.00,519.00,519.00,-1.89,"60,000.00","31,140,000.00"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,7,2022-04-12,529.00,529.00,529.00,529.00,0.00,"4,800.00","2,539,200.00"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,8,2022-01-30,100.00,100.00,100.00,100.00,0.00,"283,100.00","130,176,490.00"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,9,2021-11-21,100.00,100.00,100.00,100.00,0.00,"83,160.00","45,020,535.20"
meropo,Mero Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/meropo,10,2021-07-15,501.00,"1,002.00",437.00,441.00,0.00,"531,810.00","234,644,940.00"
