symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,1,2025-11-19,392.20,400.00,392.20,398.00,0.00,"5,886.00","2,314,689.00"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,2,2025-11-18,393.00,408.00,393.00,398.00,0.66,"5,414.00","2,164,443.20"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,3,2025-11-17,392.00,398.70,388.40,395.40,-0.90,"3,637.00","1,432,513.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,4,2025-11-16,390.60,399.00,390.60,399.00,0.28,"6,472.00","2,550,359.90"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,5,2025-11-13,386.10,402.00,385.20,397.90,1.27,"3,270.00","1,294,956.30"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,6,2025-11-12,399.80,399.90,387.00,392.90,0.23,"6,214.00","2,430,636.20"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,7,2025-11-11,384.00,403.00,384.00,392.00,0.51,"3,607.00","1,412,175.40"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,8,2025-11-10,384.70,397.00,384.70,390.00,0.00,"4,769.00","1,870,755.30"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,9,2025-11-09,392.00,394.00,386.00,390.00,-2.50,"4,895.00","1,908,887.40"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,10,2025-11-06,402.00,407.00,397.00,400.00,-2.44,"4,708.00","1,880,312.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,11,2025-11-05,402.10,410.00,397.00,410.00,0.00,"3,931.00","1,584,063.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,12,2025-11-04,405.00,412.00,401.00,410.00,-0.70,"7,738.00","3,127,703.90"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,13,2025-11-03,411.00,425.00,405.00,412.90,-1.46,"5,663.00","2,330,099.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,14,2025-11-02,395.00,424.00,395.00,419.00,4.49,"10,405.00","4,318,468.60"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,15,2025-10-30,380.40,401.50,373.00,401.00,3.35,"7,068.00","2,794,162.20"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,16,2025-10-29,375.00,394.00,375.00,388.00,1.52,"6,127.00","2,372,810.40"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,17,2025-10-28,374.00,393.90,367.60,382.20,2.74,"9,897.00","3,736,005.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,18,2025-10-26,380.00,381.90,363.00,372.00,-0.32,"3,793.00","1,399,042.60"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,19,2025-10-19,379.00,386.00,373.00,373.20,-1.53,"2,202.00","835,231.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,20,2025-10-16,382.10,394.00,374.60,379.00,-2.32,"4,333.00","1,637,805.00"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,21,2025-10-15,392.80,400.60,377.40,388.00,-3.19,"3,752.00","1,453,104.40"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,22,2025-10-14,393.00,400.80,385.20,400.80,0.20,"5,284.00","2,053,356.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,23,2025-10-13,386.00,400.00,385.00,400.00,2.56,"2,962.00","1,161,127.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,24,2025-10-12,405.00,405.10,383.00,390.00,-4.62,"10,182.00","3,973,690.80"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,25,2025-10-09,413.50,445.00,405.00,408.90,0.86,"5,510.00","2,248,918.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,26,2025-10-08,411.10,411.10,394.70,405.40,-3.01,"13,109.00","5,263,627.20"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,27,2025-10-07,425.00,425.00,410.00,418.00,-3.44,"5,629.00","2,345,606.40"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,28,2025-09-28,435.00,435.10,425.00,432.90,-0.48,"2,786.00","1,199,717.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,29,2025-09-25,443.00,443.00,427.70,435.00,0.00,"5,463.00","2,378,854.80"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,30,2025-09-24,422.30,444.20,422.30,435.00,1.87,"4,982.00","2,167,941.20"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,31,2025-09-23,416.00,438.00,415.10,427.00,1.72,"4,734.00","2,036,006.90"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,32,2025-09-21,403.60,423.30,400.00,419.76,1.95,"9,478.00","3,895,095.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,33,2025-09-08,419.00,424.00,404.90,411.75,-3.06,"9,216.00","3,802,562.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,34,2025-09-07,417.10,438.40,417.10,424.74,0.23,"5,161.00","2,181,621.00"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,35,2025-09-04,422.00,428.00,421.10,423.76,-0.91,"8,235.00","3,482,103.10"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,36,2025-09-03,422.10,434.00,422.10,427.67,-0.53,"3,836.00","1,642,312.00"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,37,2025-09-02,425.10,438.00,425.10,429.94,-0.76,"4,683.00","2,032,278.80"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,38,2025-09-01,427.00,438.00,427.00,433.25,-0.16,"1,525.00","660,038.00"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,39,2025-08-31,438.60,447.30,433.00,433.93,-3.03,"7,661.00","3,345,062.10"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,40,2025-08-28,444.00,472.00,444.00,447.47,-0.58,"6,112.00","2,756,723.90"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,41,2025-08-27,435.20,454.00,435.20,450.08,1.79,"6,195.00","2,764,176.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,42,2025-08-26,440.00,449.40,437.00,442.18,0.34,"6,618.00","2,917,292.60"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,43,2025-08-25,438.80,445.00,436.10,440.67,-0.12,"4,761.00","2,103,573.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,44,2025-08-24,438.40,462.00,438.40,441.22,-1.36,"5,524.00","2,450,171.80"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,45,2025-08-21,453.00,455.00,446.70,447.32,-0.81,"9,155.00","4,110,616.80"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,46,2025-08-20,464.10,464.10,447.90,450.98,-0.97,"8,976.00","4,056,759.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,47,2025-08-19,460.00,460.00,450.00,455.39,-0.18,"16,089.00","7,262,120.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,48,2025-08-18,442.50,464.00,442.50,456.20,1.52,"25,599.00","11,600,892.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,49,2025-08-17,450.00,467.00,448.30,449.36,-0.29,"21,276.00","9,593,570.90"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,50,2025-08-14,439.20,466.90,439.20,450.67,0.88,"8,022.00","3,623,672.40"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,51,2025-08-13,436.70,456.00,436.70,446.75,0.26,"6,745.00","3,025,622.40"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,52,2025-08-12,443.40,460.00,443.40,445.61,-1.51,"7,219.00","3,233,649.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,53,2025-08-11,461.00,480.00,452.10,452.44,-1.93,"14,261.00","6,590,755.70"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,54,2025-08-07,457.10,466.00,457.10,461.35,-0.46,"7,352.00","3,397,454.30"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,55,2025-08-06,480.00,488.00,460.10,463.49,-1.63,"12,719.00","6,001,060.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,56,2025-08-05,474.20,480.00,468.00,471.16,-2.39,"17,813.00","8,422,420.90"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,57,2025-08-04,466.70,485.90,451.00,482.70,5.49,"41,593.00","19,769,328.00"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,58,2025-08-03,465.00,478.00,456.00,457.56,-2.96,"16,321.00","7,570,790.30"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,59,2025-07-31,472.60,489.00,467.00,471.54,-2.19,"18,678.00","8,855,971.10"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,60,2025-07-30,488.00,494.00,478.20,482.08,-0.52,"20,488.00","9,946,006.30"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,61,2025-07-29,488.00,497.90,481.10,484.58,1.15,"18,595.00","9,069,973.50"
mhcl,Molung Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mhcl,62,2025-07-28,494.30,494.30,472.10,479.07,-1.44,"18,165.00","8,669,347.90"
