symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,1,2025-11-19,485.00,485.00,475.20,480.30,-0.35,"15,543.00","7,472,222.40"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,2,2025-11-18,485.00,493.80,480.10,482.00,0.21,"30,411.00","14,841,666.50"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,3,2025-11-17,481.90,482.00,473.00,481.00,1.05,"10,385.00","4,983,915.00"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,4,2025-11-16,483.00,483.00,470.20,476.00,0.21,"12,915.00","6,170,681.60"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,5,2025-11-13,472.00,485.00,471.10,475.00,-0.48,"17,394.00","8,319,410.90"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,6,2025-11-12,484.50,484.50,470.00,477.30,0.27,"7,583.00","3,578,794.80"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,7,2025-11-11,469.30,477.90,465.10,476.00,1.49,"7,023.00","3,303,241.30"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,8,2025-11-10,476.00,476.00,467.10,469.00,-1.05,"8,468.00","3,977,008.70"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,9,2025-11-09,484.00,484.00,470.50,474.00,-1.25,"20,825.00","9,857,369.50"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,10,2025-11-06,480.20,486.00,476.10,480.00,-0.83,"25,872.00","12,407,466.30"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,11,2025-11-05,481.00,488.00,477.90,484.00,0.21,"19,158.00","9,221,351.50"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,12,2025-11-04,487.00,496.00,480.30,483.00,-0.82,"16,026.00","7,820,153.60"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,13,2025-11-03,495.00,504.00,483.00,487.00,-0.92,"35,598.00","17,620,451.30"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,14,2025-11-02,483.50,502.00,483.50,491.50,1.76,"31,228.00","15,402,621.40"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,15,2025-10-30,478.00,488.00,471.00,483.00,2.33,"16,391.00","7,899,145.90"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,16,2025-10-29,479.90,491.90,471.00,472.00,0.21,"28,486.00","13,699,175.00"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,17,2025-10-28,460.00,476.00,460.00,471.00,4.20,"15,857.00","7,461,916.60"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,18,2025-10-26,445.00,453.00,445.00,452.00,0.00,"7,570.00","3,395,976.90"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,19,2025-10-19,460.00,460.90,451.00,452.00,-0.02,"7,809.00","3,556,492.00"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,20,2025-10-16,466.00,466.00,452.00,452.10,-2.35,"8,021.00","3,680,820.70"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,21,2025-10-15,462.30,475.00,460.00,463.00,0.22,"11,182.00","5,208,309.80"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,22,2025-10-14,461.00,480.00,461.00,462.00,0.02,"22,258.00","10,497,208.10"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,23,2025-10-13,464.60,466.90,455.00,461.90,1.41,"27,140.00","12,506,051.70"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,24,2025-10-12,470.10,479.40,455.50,455.50,-4.87,"30,569.00","14,139,861.60"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,25,2025-10-09,479.40,517.00,475.10,478.80,1.87,"35,134.00","17,050,003.90"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,26,2025-10-08,480.00,485.00,465.00,470.00,-3.09,"26,914.00","12,725,849.20"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,27,2025-10-07,495.20,495.20,480.00,485.00,-3.39,"18,210.00","8,831,838.20"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,28,2025-09-28,496.00,504.00,496.00,502.00,0.42,"7,583.00","3,784,728.70"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,29,2025-09-25,511.90,511.90,496.00,499.90,-0.42,"26,108.00","13,046,234.80"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,30,2025-09-24,505.00,515.00,494.90,502.00,-1.20,"30,371.00","15,274,938.00"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,31,2025-09-23,489.00,512.00,481.00,508.10,5.06,"30,930.00","15,490,408.10"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,32,2025-09-21,450.00,485.00,450.00,483.64,7.09,"41,577.00","19,459,792.50"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,33,2025-09-18,479.70,479.70,451.60,451.60,-5.86,705.00,"322,534.00"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,34,2025-09-08,490.00,492.00,476.30,479.70,-2.87,"20,421.00","9,880,689.80"
mhl,Mandakini Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mhl,35,2025-09-07,505.00,505.00,488.50,493.88,-1.71,"14,799.00","7,286,604.00"
