symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,1,2025-11-20,"1,336.00","1,353.00","1,333.00","1,337.10",-0.94,"2,782.00","3,722,351.00"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,2,2025-11-19,"1,375.00","1,375.00","1,333.00","1,349.80",0.06,"3,545.00","4,784,500.70"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,3,2025-11-18,"1,360.00","1,369.90","1,336.60","1,349.00",0.22,"4,299.00","5,807,966.80"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,4,2025-11-17,"1,350.00","1,370.00","1,346.00","1,346.00",-1.75,"2,685.00","3,631,508.60"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,5,2025-11-16,"1,388.00","1,400.00","1,350.00","1,370.00",0.66,"3,814.00","5,213,909.10"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,6,2025-11-13,"1,399.00","1,399.00","1,360.00","1,361.00",-0.87,"5,297.00","7,236,529.60"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,7,2025-11-12,"1,370.20","1,399.00","1,370.10","1,373.00",-0.51,"3,841.00","5,283,157.40"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,8,2025-11-11,"1,416.00","1,416.70","1,371.00","1,380.00",-0.65,"3,993.00","5,527,344.50"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,9,2025-11-10,"1,382.00","1,405.00","1,375.50","1,389.00",-0.17,"4,370.00","6,080,504.00"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,10,2025-11-09,"1,430.00","1,430.00","1,385.10","1,391.30",-3.38,"8,002.00","11,199,640.90"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,11,2025-11-06,"1,489.90","1,489.90","1,435.00","1,440.00",-2.57,"7,615.00","10,988,382.00"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,12,2025-11-05,"1,433.00","1,478.00","1,433.00","1,478.00",1.57,"6,632.00","9,635,417.90"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,13,2025-11-04,"1,616.80","1,616.80","1,455.20","1,455.20",-10.00,"50,443.00","74,931,867.70"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,14,2025-11-03,"1,485.00","1,616.80","1,432.00","1,616.80",9.99,"9,968.00","14,623,793.10"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,15,2025-11-02,"1,458.00","1,485.80","1,458.00","1,469.90",0.79,"5,610.00","8,254,832.40"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,16,2025-10-30,"1,520.00","1,581.00","1,500.00","1,575.00",3.62,"14,110.00","21,611,250.30"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,17,2025-10-29,"1,549.00","1,581.00","1,511.00","1,520.00",-1.30,"9,580.00","14,709,793.40"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,18,2025-10-28,"1,479.00","1,615.00","1,456.10","1,540.00",4.27,"6,294.00","9,486,122.80"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,19,2025-10-26,"1,464.00","1,479.90","1,440.00","1,477.00",0.89,"2,672.00","3,901,969.50"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,20,2025-10-19,"1,475.00","1,475.00","1,455.00","1,464.00",0.55,"2,352.00","3,438,392.50"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,21,2025-10-16,"1,460.10","1,480.00","1,450.00","1,456.00",-0.27,"7,965.00","11,625,212.50"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,22,2025-10-15,"1,506.00","1,506.00","1,451.30","1,460.00",-1.35,"9,080.00","13,296,482.20"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,23,2025-10-14,"1,468.20","1,519.80","1,468.20","1,480.00",-0.87,"4,015.00","5,970,718.40"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,24,2025-10-13,"1,455.00","1,499.90","1,455.00","1,493.00",1.77,"4,315.00","6,417,853.50"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,25,2025-10-12,"1,505.00","1,540.00","1,460.00","1,467.00",-0.61,"21,644.00","32,470,966.10"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,26,2025-10-09,"1,514.70","1,544.00","1,470.00","1,476.00",-0.61,"7,722.00","11,536,434.30"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,27,2025-10-08,"1,510.00","1,510.00","1,475.10","1,485.00",-2.11,"4,429.00","6,585,297.70"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,28,2025-10-07,"1,535.00","1,535.00","1,491.90","1,517.00",-1.17,"4,700.00","7,086,097.00"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,29,2025-09-28,"1,526.00","1,535.00","1,515.00","1,535.00",0.85,"1,427.00","2,174,156.60"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,30,2025-09-25,"1,505.00","1,525.00","1,504.00","1,522.00",0.00,"4,255.00","6,428,728.80"
mkcl,Muktinath Krishi Company Limited,Others,https://www.sharesansar.com/company/mkcl,31,2025-09-24,"1,530.00","1,570.00","1,516.00","1,522.00",-2.18,"7,946.00","12,179,044.00"
