symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,1,2025-11-19,375.00,386.00,368.00,385.90,1.55,"9,761.00","3,665,529.60"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,2,2025-11-18,363.00,392.00,363.00,380.00,2.70,"4,984.00","1,879,289.80"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,3,2025-11-17,360.20,371.90,353.30,370.00,0.74,"4,920.00","1,794,575.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,4,2025-11-16,357.70,367.30,355.30,367.30,0.66,"3,622.00","1,312,753.80"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,5,2025-11-13,360.00,366.00,353.20,364.90,-0.55,"2,325.00","839,735.50"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,6,2025-11-12,373.70,373.70,360.70,366.90,-0.30,"4,190.00","1,515,888.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,7,2025-11-11,360.00,369.00,358.30,368.00,0.77,"3,119.00","1,129,644.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,8,2025-11-10,358.30,365.20,355.00,365.20,-0.08,"2,940.00","1,061,355.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,9,2025-11-09,365.00,370.00,352.90,365.50,-1.22,"1,590.00","573,282.50"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,10,2025-11-06,362.10,374.90,358.40,370.00,0.27,"6,986.00","2,538,802.50"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,11,2025-11-05,363.00,371.90,360.50,369.00,-0.22,"1,014.00","368,102.80"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,12,2025-11-04,367.20,379.90,360.20,369.80,-1.26,"4,170.00","1,529,399.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,13,2025-11-03,383.00,389.50,373.50,374.50,-1.71,"4,792.00","1,817,329.50"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,14,2025-11-02,367.00,384.20,367.00,381.00,1.93,"7,530.00","2,846,381.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,15,2025-10-30,358.90,379.30,347.20,373.80,4.44,"10,342.00","3,759,167.70"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,16,2025-10-29,355.90,368.00,353.00,357.90,-0.83,"6,815.00","2,425,696.50"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,17,2025-10-28,337.20,363.90,337.20,360.90,4.91,"3,950.00","1,387,355.40"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,18,2025-10-26,341.00,345.00,339.00,344.00,-0.86,"2,302.00","786,756.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,19,2025-10-19,350.00,350.00,340.10,347.00,0.87,370.00,"126,698.40"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,20,2025-10-16,358.30,372.70,334.20,344.00,-2.08,"4,356.00","1,480,161.40"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,21,2025-10-15,365.00,365.00,351.30,351.30,-4.80,"5,214.00","1,852,491.60"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,22,2025-10-14,373.00,373.00,361.00,369.00,-2.84,"4,555.00","1,667,948.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,23,2025-10-13,356.90,381.00,351.10,379.80,4.34,"4,949.00","1,856,866.60"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,24,2025-10-12,380.00,380.00,361.50,364.00,-6.06,"8,094.00","2,990,614.20"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,25,2025-10-09,386.50,402.00,377.10,387.50,2.24,"10,787.00","4,182,451.50"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,26,2025-10-08,386.90,387.00,372.00,379.00,-3.95,"8,412.00","3,209,123.30"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,27,2025-10-07,401.00,401.80,384.00,394.60,-3.52,"4,937.00","1,938,987.70"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,28,2025-09-28,406.00,409.00,406.00,409.00,0.66,"1,995.00","810,936.80"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,29,2025-09-25,416.00,416.00,400.00,406.30,-0.42,"5,554.00","2,256,654.80"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,30,2025-09-24,398.00,421.00,396.00,408.00,0.77,"5,968.00","2,414,055.10"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,31,2025-09-23,400.00,409.30,398.20,404.90,0.53,"6,450.00","2,591,509.40"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,32,2025-09-21,365.00,405.00,365.00,402.76,8.56,"14,234.00","5,469,518.70"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,33,2025-09-18,378.50,378.50,371.00,371.00,-3.94,"1,020.00","385,920.00"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,34,2025-09-08,395.00,400.00,378.00,386.21,-3.32,"22,153.00","8,680,430.30"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,35,2025-09-07,400.10,403.00,392.10,399.46,-1.67,"12,766.00","5,081,498.20"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,36,2025-09-04,407.90,414.00,404.00,406.26,-1.46,"10,018.00","4,081,773.50"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,37,2025-09-03,410.00,418.50,410.00,412.26,-0.24,"7,885.00","3,259,382.70"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,38,2025-09-02,420.00,425.00,411.00,413.26,-1.42,"16,141.00","6,747,967.10"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,39,2025-09-01,419.10,427.00,412.00,419.22,-1.69,"19,678.00","8,226,331.10"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,40,2025-08-31,431.30,445.70,425.00,426.41,-2.77,"13,486.00","5,831,266.30"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,41,2025-08-28,437.50,453.00,437.00,438.58,-1.73,"11,138.00","4,908,708.70"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,42,2025-08-27,449.70,449.70,433.00,446.30,1.20,"11,222.00","4,962,293.50"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,43,2025-08-26,453.10,462.10,435.50,441.00,-0.74,"6,835.00","3,010,530.80"
mkhc,Maya Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/mkhc,44,2025-08-25,444.90,449.80,437.10,444.30,1.58,"8,148.00","3,611,244.30"
