symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,1,2025-11-19,779.50,783.00,765.00,771.00,-3.02,770.00,"596,080.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,2,2025-11-18,741.00,801.60,741.00,795.00,5.24,"5,699.00","4,473,628.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,3,2025-11-17,748.80,770.00,748.80,755.40,-1.13,"1,339.00","1,020,943.90"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,4,2025-11-16,745.00,766.00,737.50,764.00,1.60,"2,110.00","1,591,137.90"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,5,2025-11-13,750.00,756.00,750.00,752.00,-1.67,640.00,"481,339.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,6,2025-11-12,751.00,766.00,748.50,764.80,0.59,"1,430.00","1,083,959.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,7,2025-11-11,769.00,784.30,754.00,760.30,-3.02,"1,340.00","1,021,666.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,8,2025-11-10,769.00,785.40,755.00,784.00,0.00,"1,317.00","1,016,920.10"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,9,2025-11-09,784.00,784.00,765.40,784.00,-1.88,"1,244.00","959,156.40"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,10,2025-11-06,796.00,799.00,751.30,799.00,-1.47,"67,419.00","51,747,616.50"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,11,2025-11-05,780.00,810.90,752.10,810.90,3.96,"33,126.00","25,041,910.20"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,12,2025-11-04,770.00,833.00,743.00,780.00,-0.64,"1,097.00","844,212.20"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,13,2025-11-03,777.00,785.00,762.20,785.00,-0.91,"3,272.00","2,521,416.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,14,2025-11-02,756.00,798.00,741.00,792.20,2.72,"5,250.00","4,066,472.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,15,2025-10-30,761.00,771.20,731.00,771.20,-0.49,"1,001.00","754,536.40"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,16,2025-10-29,720.00,776.20,706.30,775.00,5.60,"8,194.00","6,141,455.60"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,17,2025-10-28,670.60,733.90,670.50,733.90,7.30,"18,678.00","12,766,753.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,18,2025-10-26,664.30,684.00,652.00,684.00,1.33,"14,590.00","9,520,364.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,19,2025-10-19,686.90,701.00,675.00,675.00,0.15,300.00,"203,829.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,20,2025-10-16,659.00,683.40,656.10,674.00,2.28,"1,216.00","820,357.40"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,21,2025-10-15,657.20,695.60,657.20,659.00,-1.47,160.00,"106,045.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,22,2025-10-14,702.80,702.80,667.50,668.80,-6.72,668.00,"457,162.40"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,23,2025-10-13,691.50,738.60,665.00,717.00,5.75,"1,850.00","1,257,742.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,24,2025-10-12,719.40,719.40,663.00,678.00,-7.63,"4,489.00","3,023,242.70"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,25,2025-10-09,744.60,780.00,734.00,734.00,0.55,"2,502.00","1,841,069.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,26,2025-10-08,731.00,740.00,694.00,730.00,-2.01,"2,757.00","1,968,614.40"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,27,2025-10-07,780.80,780.80,737.00,745.00,-6.30,"2,655.00","1,988,873.10"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,28,2025-09-28,827.20,827.20,795.00,795.10,-1.96,273.00,"218,046.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,29,2025-09-25,783.80,811.00,752.90,811.00,1.50,"57,061.00","43,510,172.70"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,30,2025-09-24,785.00,832.90,770.00,799.00,1.78,"2,908.00","2,300,160.80"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,31,2025-09-23,757.70,788.00,757.70,785.00,1.54,"1,665.00","1,287,879.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,32,2025-09-21,730.00,781.20,709.00,773.12,4.47,"6,886.00","4,987,157.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,33,2025-09-08,741.80,750.00,730.20,740.06,-2.00,"2,484.00","1,844,588.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,34,2025-09-07,762.60,766.00,750.20,755.18,-2.94,"1,673.00","1,265,958.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,35,2025-09-04,751.10,790.00,745.20,778.06,1.68,"3,610.00","2,739,994.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,36,2025-09-03,751.10,780.00,751.10,765.18,-0.04,"1,816.00","1,390,308.00"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,37,2025-09-02,760.10,785.00,760.10,765.50,-0.91,"1,579.00","1,210,275.70"
mkhl,Mai Khola Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mkhl,38,2025-09-01,767.50,796.80,767.50,772.52,-1.11,"1,602.00","1,234,475.00"
