symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,1,2025-11-19,538.60,544.70,530.00,536.00,-0.74,"28,585.00","15,263,932.70"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,2,2025-11-18,535.90,546.60,534.00,540.00,0.77,"16,416.00","8,888,862.00"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,3,2025-11-17,541.00,545.00,530.00,535.90,-0.02,"13,263.00","7,108,631.20"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,4,2025-11-16,564.00,564.00,535.00,536.00,-3.21,"15,014.00","8,163,690.00"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,5,2025-11-13,539.40,556.80,539.40,553.80,0.69,"27,779.00","15,141,996.60"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,6,2025-11-12,550.20,556.00,545.00,550.00,-1.59,"9,143.00","5,010,482.00"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,7,2025-11-11,571.20,571.20,547.00,558.90,-0.20,"26,636.00","14,771,537.30"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,8,2025-11-10,555.10,560.00,547.00,560.00,-0.85,"21,137.00","11,693,923.90"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,9,2025-11-09,573.10,586.00,558.00,564.80,-3.29,"19,190.00","10,792,331.70"
mkjc,Mailung Khola Jal Vidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/mkjc,10,2025-11-06,585.00,631.00,574.00,584.00,-0.98,"75,037.00","43,774,055.70"
