symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,1,2025-11-19,"1,498.90","1,498.90","1,457.10","1,468.90",-0.68,363.00,"531,525.70"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,2,2025-11-18,"1,465.00","1,490.00","1,460.40","1,479.00",0.82,776.00,"1,141,316.20"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,3,2025-11-17,"1,489.90","1,489.90","1,451.00","1,467.00",0.41,"1,409.00","2,059,817.10"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,4,2025-11-16,"1,470.00","1,470.00","1,448.40","1,461.00",0.08,"1,126.00","1,651,635.30"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,5,2025-11-13,"1,450.00","1,473.00","1,444.30","1,459.90",-0.28,150.00,"219,751.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,6,2025-11-12,"1,451.30","1,464.00","1,445.00","1,464.00",-0.34,"2,100.00","3,045,810.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,7,2025-11-11,"1,487.00","1,487.00","1,445.10","1,469.00",0.62,220.00,"319,996.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,8,2025-11-10,"1,488.00","1,488.00","1,436.20","1,460.00",0.00,893.00,"1,290,759.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,9,2025-11-09,"1,480.00","1,480.00","1,456.10","1,460.00",-1.35,521.00,"762,740.80"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,10,2025-11-06,"1,475.90","1,494.00","1,470.00","1,480.00",0.41,"2,423.00","3,585,455.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,11,2025-11-05,"1,495.00","1,498.00","1,456.50","1,474.00",-0.74,"1,000.00","1,467,983.50"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,12,2025-11-04,"1,500.00","1,500.00","1,470.00","1,485.00",0.41,"4,638.00","6,870,812.30"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,13,2025-11-03,"1,470.00","1,489.00","1,470.00","1,479.00",1.30,"6,704.00","9,886,496.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,14,2025-11-02,"1,463.00","1,469.90","1,436.00","1,460.00",1.74,"3,648.00","5,305,403.40"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,15,2025-10-30,"1,448.00","1,448.00","1,421.00","1,435.00",0.70,"1,411.00","2,023,201.80"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,16,2025-10-29,"1,458.90","1,458.90","1,400.00","1,425.00",-0.70,532.00,"754,044.50"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,17,2025-10-28,"1,400.00","1,435.00","1,400.00","1,435.00",4.36,"1,578.00","2,226,846.90"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,18,2025-10-26,"1,372.00","1,376.80","1,345.00","1,375.00",-1.08,"1,269.00","1,718,780.70"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,19,2025-10-19,"1,420.00","1,420.00","1,378.10","1,390.00",-0.64,592.00,"826,830.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,20,2025-10-16,"1,410.00","1,415.00","1,380.00","1,399.00",-1.82,"2,560.00","3,565,965.30"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,21,2025-10-15,"1,420.00","1,425.00","1,395.30","1,425.00",-0.21,992.00,"1,396,554.80"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,22,2025-10-14,"1,432.20","1,450.00","1,411.00","1,428.00",-2.26,"2,168.00","3,078,413.40"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,23,2025-10-13,"1,485.00","1,485.00","1,431.00","1,461.00",0.21,"1,679.00","2,426,693.70"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,24,2025-10-12,"1,461.30","1,465.00","1,402.00","1,458.00",-1.94,"2,486.00","3,559,450.60"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,25,2025-10-09,"1,496.30","1,526.20","1,465.00","1,486.90",1.36,"1,116.00","1,664,042.30"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,26,2025-10-08,"1,495.00","1,495.00","1,444.00","1,467.00",-1.87,880.00,"1,290,889.80"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,27,2025-10-07,"1,505.00","1,505.00","1,460.00","1,495.00",-1.75,"2,729.00","4,021,121.80"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,28,2025-09-28,"1,524.00","1,524.00","1,500.10","1,521.60",1.71,536.00,"810,952.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,29,2025-09-25,"1,486.00","1,505.00","1,486.00","1,496.00",-1.05,571.00,"852,792.90"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,30,2025-09-24,"1,490.10","1,511.90","1,490.10","1,511.90",-0.47,990.00,"1,478,355.40"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,31,2025-09-23,"1,470.00","1,520.00","1,470.00","1,519.00",1.52,"1,557.00","2,355,011.30"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,32,2025-09-21,"1,477.00","1,500.00","1,412.00","1,496.27",3.26,"2,505.00","3,650,418.70"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,33,2025-09-18,"1,439.70","1,449.00","1,418.00","1,449.00",-1.36,125.00,"180,044.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,34,2025-09-08,"1,451.00","1,480.00","1,451.00","1,469.00",-0.12,"1,564.00","2,283,002.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,35,2025-09-07,"1,490.00","1,499.00","1,470.00","1,470.79",-0.70,"1,081.00","1,602,308.40"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,36,2025-09-04,"1,482.00","1,490.00","1,476.00","1,481.13",-1.21,"3,438.00","5,094,164.70"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,37,2025-09-03,"1,503.10","1,529.00","1,490.00","1,499.26",-1.37,"2,724.00","4,093,068.20"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,38,2025-09-02,"1,501.10","1,555.00","1,501.10","1,520.10",-0.33,903.00,"1,375,826.20"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,39,2025-09-01,"1,510.10","1,540.00","1,510.10","1,525.09",-0.08,981.00,"1,498,640.30"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,40,2025-08-31,"1,521.20","1,550.50","1,521.20","1,526.26",-1.05,"2,225.00","3,414,547.60"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,41,2025-08-28,"1,590.00","1,590.00","1,541.00","1,542.42",-2.93,"3,005.00","4,691,398.40"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,42,2025-08-27,"1,551.10","1,598.00","1,551.10","1,588.93",0.58,"3,208.00","5,091,778.90"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,43,2025-08-26,"1,551.10","1,595.00","1,551.10","1,579.77",0.18,"2,880.00","4,548,003.50"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,44,2025-08-25,"1,543.00","1,590.00","1,543.00","1,577.01",4.25,"12,581.00","19,790,759.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,45,2025-08-24,"1,491.00","1,569.70","1,491.00","1,512.76",-0.57,"1,449.00","2,202,010.30"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,46,2025-08-21,"1,505.50","1,540.00","1,505.50","1,521.40",-0.09,927.00,"1,410,360.50"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,47,2025-08-20,"1,515.00","1,545.00","1,515.00","1,522.82",-0.86,"1,750.00","2,671,334.60"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,48,2025-08-19,"1,512.00","1,550.00","1,512.00","1,536.09",0.18,"2,026.00","3,118,019.00"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,49,2025-08-18,"1,530.00","1,559.00","1,530.00","1,533.39",-0.68,"2,283.00","3,512,615.30"
mlbbl,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbbl,50,2025-08-17,"1,550.00","1,581.00","1,541.00","1,543.89",-0.91,"2,141.00","3,323,702.50"
