symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,1,2025-11-19,386.90,386.90,380.20,380.60,-0.86,"9,174.00","3,498,722.90"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,2,2025-11-18,381.00,385.50,380.40,383.90,1.56,"30,486.00","11,689,088.50"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,3,2025-11-17,374.00,380.80,374.00,378.00,0.00,"10,938.00","4,145,162.70"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,4,2025-11-16,376.00,381.90,376.00,378.00,-0.26,"14,237.00","5,383,661.90"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,5,2025-11-13,373.60,381.20,373.60,379.00,-0.26,"18,619.00","7,040,238.30"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,6,2025-11-12,378.00,382.00,375.00,380.00,1.33,"16,649.00","6,298,342.90"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,7,2025-11-11,377.10,380.50,373.10,375.00,-0.79,"16,817.00","6,331,950.10"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,8,2025-11-10,381.90,381.90,374.00,378.00,-0.50,"15,942.00","6,012,011.10"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,9,2025-11-09,380.10,382.90,376.50,379.90,-1.25,"36,893.00","13,981,718.20"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,10,2025-11-06,387.00,392.00,383.50,384.70,-0.85,"25,138.00","9,703,830.60"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,11,2025-11-05,389.00,392.00,384.00,388.00,0.26,"34,835.00","13,466,597.10"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,12,2025-11-04,390.00,398.00,387.00,387.00,-1.15,"46,702.00","18,271,283.20"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,13,2025-11-03,393.80,399.00,388.20,391.50,1.32,"111,138.00","43,807,249.70"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,14,2025-11-02,386.00,391.00,380.00,386.40,1.68,"53,238.00","20,645,124.80"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,15,2025-10-30,374.00,385.00,373.00,380.00,1.01,"41,031.00","15,576,185.70"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,16,2025-10-29,389.00,389.00,376.20,376.20,-1.93,"31,150.00","11,903,095.10"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,17,2025-10-28,375.00,385.00,372.40,383.60,3.12,"34,244.00","13,044,017.90"
mlbl,Mahalaxmi Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/mlbl,18,2025-10-26,365.60,376.00,361.10,372.00,-0.27,"9,534.00","3,510,288.40"
