symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,1,2025-10-26,202.00,202.00,202.00,202.00,-1.94,"149,474.00","30,193,748.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,2,2025-10-15,206.00,206.00,206.00,206.00,0.00,"36,460.00","7,510,760.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,3,2025-07-24,232.00,232.00,232.00,232.00,0.00,"74,736.00","17,338,752.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,4,2024-09-16,155.00,155.00,155.00,155.00,0.00,"75,000.00","11,625,000.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,5,2024-07-30,155.00,155.00,155.00,155.00,0.00,"7,000.00","1,085,000.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,6,2024-07-29,155.00,155.00,155.00,155.00,-0.06,"78,000.00","12,090,000.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,7,2024-06-30,155.10,155.10,155.10,155.10,-1.96,"97,000.00","15,044,700.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,8,2024-06-18,158.20,158.20,158.20,158.20,0.00,"46,508.00","7,357,565.60"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,9,2023-12-03,158.20,158.20,158.20,158.20,-1.98,"46,867.00","7,414,359.40"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,10,2023-11-30,161.40,161.40,161.40,161.40,0.00,"150,000.00","24,210,000.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,11,2023-10-18,161.40,161.40,161.40,161.40,-1.94,"40,000.00","6,456,000.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,12,2023-08-07,167.90,167.90,164.60,164.60,-3.91,"350,000.00","58,270,000.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,13,2023-07-18,171.30,171.30,171.30,171.30,-1.95,81.00,"13,875.30"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,14,2023-07-16,174.70,174.70,174.70,174.70,0.00,"2,400.00","419,280.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,15,2023-07-12,174.70,174.70,174.70,174.70,0.00,"2,461.00","429,936.70"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,16,2023-06-15,181.80,181.80,174.70,174.70,-5.82,"189,277.00","33,380,858.60"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,17,2023-05-17,185.50,185.50,185.50,185.50,-1.96,"2,003.00","371,556.50"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,18,2023-04-02,189.20,189.20,189.20,189.20,0.00,"25,000.00","4,730,000.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,19,2023-02-09,189.20,189.20,189.20,189.20,-1.97,"7,746.00","1,465,543.20"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,20,2022-08-16,211.00,211.00,211.00,211.00,0.00,940.00,"198,340.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,21,2022-04-13,229.00,229.00,229.00,229.00,0.00,"4,703.00","1,076,987.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,22,2021-12-27,315.00,315.00,315.00,315.00,0.00,"14,583.00","4,593,645.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,23,2021-06-10,220.00,220.00,220.00,220.00,0.00,"55,000.00","12,100,000.00"
mlblpo,Mahalaxmi Bikas Bank Ltd. Promotor Share,Promoter Share,https://www.sharesansar.com/company/mlblpo,24,2021-03-02,110.00,110.00,110.00,110.00,0.92,"3,000.00","330,000.00"
