symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,1,2025-11-19,"1,510.00","1,541.00","1,500.00","1,510.00",-1.24,"1,088.00","1,639,025.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,2,2025-11-18,"1,505.40","1,545.00","1,505.40","1,529.00",-0.46,"1,040.00","1,588,107.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,3,2025-11-17,"1,530.00","1,540.00","1,470.00","1,536.00",0.92,690.00,"1,033,863.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,4,2025-11-16,"1,500.00","1,525.00","1,500.00","1,522.00",-0.45,"1,360.00","2,043,760.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,5,2025-11-13,"1,500.10","1,530.10","1,500.10","1,528.90",-0.01,565.00,"849,731.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,6,2025-11-12,"1,500.00","1,529.00","1,499.00","1,529.00",0.00,460.00,"690,692.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,7,2025-11-11,"1,506.00","1,535.00","1,506.00","1,529.00",-0.49,332.00,"502,724.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,8,2025-11-10,"1,536.70","1,536.70","1,478.00","1,536.60",-2.00,754.00,"1,144,856.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,9,2025-11-09,"1,632.70","1,632.70","1,523.00","1,568.00",-5.88,"2,488.00","3,836,392.00"
mlbs,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbs,10,2025-11-06,"1,515.00","1,666.00","1,453.00","1,666.00",7.97,"2,306.00","3,547,501.40"
