symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,1,2025-11-19,"2,025.00","2,025.00","1,965.00","1,995.00",0.25,872.00,"1,725,941.00"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,2,2025-11-18,"2,000.00","2,000.00","1,961.00","1,990.00",1.47,335.00,"665,300.80"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,3,2025-11-17,"1,990.00","2,022.00","1,961.10","1,961.10",-1.45,"1,484.00","2,920,893.80"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,4,2025-11-16,"2,040.00","2,040.00","1,990.00","1,990.00",-1.24,862.00,"1,728,527.00"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,5,2025-11-13,"2,029.00","2,029.00","1,991.00","2,015.00",-0.69,"1,724.00","3,445,054.00"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,6,2025-11-12,"1,996.00","2,050.00","1,996.00","2,029.00",-0.20,873.00,"1,761,217.70"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,7,2025-11-11,"1,980.00","2,033.00","1,980.00","2,033.00",1.90,878.00,"1,763,369.80"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,8,2025-11-10,"1,975.00","2,025.00","1,975.00","1,995.00",0.05,345.00,"691,041.00"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,9,2025-11-09,"2,025.00","2,025.00","1,991.00","1,994.00",-0.90,698.00,"1,397,142.50"
mlbsl,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mlbsl,10,2025-11-06,"2,044.00","2,055.00","2,012.10","2,012.10",-1.56,987.00,"2,000,450.20"
