symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,1,2025-11-19,578.90,584.00,572.00,579.00,0.87,"3,314.00","1,914,765.50"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,2,2025-11-18,579.90,580.00,572.10,574.00,0.70,"8,811.00","5,079,416.90"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,3,2025-11-17,581.00,590.00,570.00,570.00,-1.89,"8,499.00","4,915,115.60"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,4,2025-11-16,590.00,595.00,579.00,581.00,-2.40,"15,882.00","9,265,720.00"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,5,2025-11-13,592.60,609.90,590.00,595.30,-1.44,"5,136.00","3,066,054.60"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,6,2025-11-12,600.10,608.90,593.00,604.00,-0.82,"18,461.00","11,079,924.90"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,7,2025-11-11,610.00,617.00,590.30,609.00,-0.15,"11,193.00","6,705,868.30"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,8,2025-11-10,597.90,620.00,597.90,609.90,-0.02,"1,358.00","820,628.50"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,9,2025-11-09,630.00,630.00,605.00,610.00,-3.17,"17,257.00","10,645,542.40"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,10,2025-11-06,607.10,632.10,607.10,630.00,2.27,"19,877.00","12,358,521.10"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,11,2025-11-05,597.80,630.00,597.80,616.00,0.98,"35,523.00","21,876,063.80"
mmkjl,Mathillo Mailun Khola Jalvidhyut Limited,Hydropower,https://www.sharesansar.com/company/mmkjl,12,2025-11-04,600.00,643.00,600.00,610.00,0.66,"2,746.00","1,676,044.40"
