symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,1,2025-10-15,241.00,241.00,236.20,236.20,-3.94,"60,000.00","14,176,800.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,2,2025-09-21,245.90,245.90,245.90,245.90,-1.99,"25,000.00","6,147,500.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,3,2025-08-20,250.90,250.90,250.90,250.90,-1.99,"164,000.00","41,147,600.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,4,2025-08-13,256.00,256.00,256.00,256.00,0.00,"5,000.00","1,280,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,5,2025-04-10,221.00,221.00,221.00,221.00,0.00,"70,000.00","15,470,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,6,2025-04-02,221.00,221.00,221.00,221.00,0.00,"52,809.00","11,670,789.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,7,2025-03-26,221.00,221.00,221.00,221.00,0.00,"22,500.00","4,972,500.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,8,2025-03-17,221.00,221.00,221.00,221.00,0.00,"5,000.00","1,105,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,9,2025-03-16,221.00,221.00,221.00,221.00,0.00,"50,000.00","11,050,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,10,2025-02-04,221.00,221.00,221.00,221.00,0.00,"5,000.00","1,105,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,11,2025-01-22,221.00,221.00,221.00,221.00,0.00,"25,000.00","5,525,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,12,2025-01-05,221.00,221.00,221.00,221.00,0.00,"124,000.00","27,404,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,13,2024-12-29,221.00,221.00,221.00,221.00,0.00,"8,200.00","1,812,200.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,14,2024-12-17,221.00,221.00,221.00,221.00,0.00,"2,500.00","552,500.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,15,2024-12-01,221.00,221.00,221.00,221.00,7.28,"25,000.00","5,525,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,16,2024-10-02,206.00,206.00,206.00,206.00,3.00,"20,451.00","4,212,906.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,17,2024-07-28,200.00,200.00,200.00,200.00,0.00,"30,788.00","6,157,600.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,18,2024-07-11,200.00,200.00,200.00,200.00,0.00,"100,000.00","20,000,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,19,2024-07-10,200.00,200.00,200.00,200.00,0.00,"8,224.00","1,644,800.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,20,2024-07-07,200.00,200.00,200.00,200.00,0.00,"28,000.00","5,600,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,21,2024-03-19,200.00,200.00,200.00,200.00,-4.31,"10,000.00","2,000,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,22,2024-01-09,209.00,209.00,209.00,209.00,0.00,"94,114.00","19,669,826.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,23,2023-12-18,209.00,209.00,209.00,209.00,0.00,"45,000.00","9,405,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,24,2023-12-11,209.00,209.00,209.00,209.00,0.00,"40,000.00","8,360,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,25,2023-11-29,209.00,209.00,209.00,209.00,0.00,"161,750.00","33,805,750.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,26,2023-11-22,209.00,209.00,209.00,209.00,0.00,"250,000.00","52,250,000.00"
mnbblp,Muktinath Bikas Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mnbblp,27,2023-07-12,237.00,237.00,237.00,237.00,0.00,"55,000.00","13,035,000.00"
