symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,1,2025-11-19,"1,103.00","1,103.00","1,103.00","1,103.00",-1.96,25.00,"27,575.00"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,2,2025-11-17,"1,125.00","1,125.00","1,125.00","1,125.00",1.92,50.00,"56,250.00"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,3,2025-11-16,"1,103.80","1,103.80","1,103.80","1,103.80",2.00,25.00,"27,595.00"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,4,2025-11-13,"1,082.30","1,082.30","1,082.20","1,082.20",-1.44,50.00,"54,112.50"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,5,2025-11-09,"1,098.00","1,098.00","1,098.00","1,098.00",-1.92,50.00,"54,900.00"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,6,2025-11-03,"1,119.50","1,119.50","1,119.50","1,119.50",2.00,200.00,"223,900.00"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,7,2025-10-29,"1,097.60","1,097.60","1,097.60","1,097.60",-2.00,100.00,"109,760.00"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,8,2025-09-25,"1,120.00","1,120.00","1,120.00","1,120.00",0.72,100.00,"112,000.00"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,9,2025-09-07,"1,112.00","1,112.00","1,112.00","1,112.00",1.89,532.00,"591,584.00"
mnd84,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debentures,https://www.sharesansar.com/company/mnd84/85,10,2025-09-02,"1,090.00","1,091.40","1,090.00","1,091.40",2.00,202.00,"220,322.80"
